r[m]	M[Msun]	rho[g/cm^3]	P[N/m^2]	n_e[pm^-3]	n_p[pm^-3]	muF_e[MeV]	B
0.009999999999999997	-6.303377894456121e-43	555273.9945690575	9.96578691713641e20	0.1629381053997563	0.12539365790687484	0.09916775402990853	0.9998232381944816
0.010041837762200011	1.494628214703236e-29	555273.9945690575	9.96578691713641e20	0.1629381053997563	0.12539365790687484	0.09916775402990853	0.9998232381944816
0.010083850564234617	3.048525404574948e-29	555273.9945690575	9.96578691713641e20	0.1629381053997563	0.12539365790687484	0.09916775402990853	0.9998232381944816
0.010126039138431311	4.660736744764396e-29	555273.9945690575	9.96578691713641e20	0.1629381053997563	0.12539365790687484	0.09916775402990853	0.9998232381944816
0.010168404220181487	6.330272567313316e-29	555273.9945690575	9.96578691713641e20	0.1629381053997563	0.12539365790687484	0.09916775402990853	0.9998232381944816
0.010210946547953244	8.056107695021269e-29	555273.9945690575	9.96578691713641e20	0.1629381053997563	0.12539365790687484	0.09916775402990853	0.9998232381944816
0.010253666863304277	9.837180764864089e-29	555273.9945690575	9.96578691713641e20	0.1629381053997563	0.12539365790687484	0.09916775402990853	0.9998232381944816
0.010296565910894787	1.1672393540812396e-28	555273.9945690575	9.96578691713641e20	0.1629381053997563	0.12539365790687484	0.09916775402990853	0.9998232381944816
0.010339644438500467	1.3560610215901866e-28	555273.9945690575	9.96578691713641e20	0.1629381053997563	0.12539365790687484	0.09916775402990853	0.9998232381944816
0.010382903197025539	1.5500656703399968e-28	555273.9945690575	9.96578691713641e20	0.1629381053997563	0.12539365790687484	0.09916775402990853	0.9998232381944816
0.01042634294051583	1.7491319916912747e-28	555273.9945690575	9.96578691713641e20	0.1629381053997563	0.12539365790687484	0.09916775402990853	0.9998232381944816
0.010469964426171941	1.95313470392766e-28	555273.9945690575	9.96578691713641e20	0.1629381053997563	0.12539365790687484	0.09916775402990853	0.9998232381944816
0.010513768414362423	2.1619444780071215e-28	555273.9945690575	9.96578691713641e20	0.1629381053997563	0.12539365790687484	0.09916775402990853	0.9998232381944816
0.010557755668637035	2.3754278621595017e-28	555273.9945690575	9.96578691713641e20	0.1629381053997563	0.12539365790687484	0.09916775402990853	0.9998232381944816
0.010601926955740065	2.5934472053136494e-28	555273.9945690575	9.96578691713641e20	0.1629381053997563	0.12539365790687484	0.09916775402990853	0.9998232381944816
0.010646283045623683	2.8158605793375995e-28	555273.9945690575	9.96578691713641e20	0.1629381053997563	0.12539365790687484	0.09916775402990853	0.9998232381944816
0.010690824711461369	3.0425217000748585e-28	555273.9945690575	9.96578691713641e20	0.1629381053997563	0.12539365790687484	0.09916775402990853	0.9998232381944816
0.010735552729661388	3.273279847159649e-28	555273.9945690575	9.96578691713641e20	0.1629381053997563	0.12539365790687484	0.09916775402990853	0.9998232381944816
0.010780467879880316	3.5079797825938724e-28	555273.9945690575	9.96578691713641e20	0.1629381053997563	0.12539365790687484	0.09916775402990853	0.9998232381944816
0.010825570945036651	3.746461668068175e-28	555273.9945690575	9.96578691713641e20	0.1629381053997563	0.12539365790687484	0.09916775402990853	0.9998232381944816
0.010870862711324434	3.988560981009103e-28	555273.9945690575	9.96578691713641e20	0.1629381053997563	0.12539365790687484	0.09916775402990853	0.9998232381944816
0.010916343968226975	4.234108429334686e-28	555273.9945690575	9.96578691713641e20	0.1629381053997563	0.12539365790687484	0.09916775402990853	0.9998232381944816
0.0109620155085306	4.482929864899656e-28	555273.9945690575	9.96578691713641e20	0.1629381053997563	0.12539365790687484	0.09916775402990853	0.9998232381944816
0.011007878128338477	4.734846195612184e-28	555273.9945690575	9.96578691713641e20	0.1629381053997563	0.12539365790687484	0.09916775402990853	0.9998232381944816
0.011053932627084494	4.9896732962030135e-28	555273.9945690575	9.96578691713641e20	0.1629381053997563	0.12539365790687484	0.09916775402990853	0.9998232381944816
0.011100179807547192	5.247221917628144e-28	555273.9945690575	9.96578691713641e20	0.1629381053997563	0.12539365790687484	0.09916775402990853	0.9998232381944816
0.011146620475863747	5.507297595085509e-28	555273.9945690575	9.96578691713641e20	0.1629381053997563	0.12539365790687484	0.09916775402990853	0.9998232381944816
0.011193255441544049	5.769700554626439e-28	555273.9945690575	9.96578691713641e20	0.1629381053997563	0.12539365790687484	0.09916775402990853	0.9998232381944816
0.011240085517484785	6.0342256183415715e-28	555273.9945690575	9.96578691713641e20	0.1629381053997563	0.12539365790687484	0.09916775402990853	0.9998232381944816
0.011287111519983621	6.300662108101503e-28	555273.9945690575	9.96578691713641e20	0.1629381053997563	0.12539365790687484	0.09916775402990853	0.9998232381944816
0.011334334268753432	6.568793747831681e-28	555273.9945690575	9.96578691713641e20	0.1629381053997563	0.12539365790687484	0.09916775402990853	0.9998232381944816
0.01138175458693659	6.838398564300773e-28	555273.9945690575	9.96578691713641e20	0.1629381053997563	0.12539365790687484	0.09916775402990853	0.9998232381944816
0.01142937330111931	7.109248786401632e-28	555273.9945690575	9.96578691713641e20	0.1629381053997563	0.12539365790687484	0.09916775402990853	0.9998232381944816
0.011477191241346055	7.381110742903672e-28	555273.9945690575	9.96578691713641e20	0.1629381053997563	0.12539365790687484	0.09916775402990853	0.9998232381944816
0.011525209241134008	7.653744758655125e-28	555273.9945690575	9.96578691713641e20	0.1629381053997563	0.12539365790687484	0.09916775402990853	0.9998232381944816
0.011573428137487605	7.926905049213386e-28	555273.9945690575	9.96578691713641e20	0.1629381053997563	0.12539365790687484	0.09916775402990853	0.9998232381944816
