r[m]	M[Msun]	rho[g/cm^3]	P[N/m^2]	n_e[pm^-3]	n_p[pm^-3]	muF_e[MeV]	B
0.010000000000000002	2.985279770814419e-39	1.3031687323054233e9	6.808484781225391e25	386.9769757964854	391.4664836361377	3.9671513212458183	0.9940783405974657
0.010038565974376428	3.220827033846591e-26	1.3031687323054233e9	6.808484781225391e25	386.9769757964854	391.4664836361377	3.9671513212458183	0.9940783405974657
0.010077280682190855	6.529579723949903e-26	1.3031687323054233e9	6.808484781225391e25	386.9769757964854	391.4664836361377	3.9671513212458183	0.9940783405974657
0.010116144697048197	9.902726312230643e-26	1.3031687323054233e9	6.808484781225391e25	386.9769757964854	391.4664836361377	3.9671513212458183	0.9940783405974657
0.010155158594765656	1.331617578817864e-25	1.3031687323054233e9	6.808484781225391e25	386.9769757964854	391.4664836361377	3.9671513212458183	0.9940783405974657
0.010194322953381126	1.674526881264064e-25	1.3031687323054233e9	6.808484781225391e25	386.9769757964854	391.4664836361377	3.9671513212458183	0.9940783405974657
0.010233638353161637	2.0164768514814521e-25	1.3031687323054233e9	6.808484781225391e25	386.9769757964854	391.4664836361377	3.9671513212458183	0.9940783405974657
0.010273105376612243	2.3609200107502186e-25	1.3031687323054233e9	6.808484781225391e25	386.9769757964854	391.4664836361377	3.9671513212458183	0.9940783405974657
0.010312724608484317	2.7149327975041847e-25	1.3031687323054233e9	6.808484781225391e25	386.9769757964854	391.4664836361377	3.9671513212458183	0.9940783405974657
0.010352496635784513	3.076060148069634e-25	1.3031687323054233e9	6.808484781225391e25	386.9769757964854	391.4664836361377	3.9671513212458183	0.9940783405974657
0.010392422047783326	3.441660098368598e-25	1.3031687323054233e9	6.808484781225391e25	386.9769757964854	391.4664836361377	3.9671513212458183	0.9940783405974657
0.010432501436023707	3.8090283462784957e-25	1.3031687323054233e9	6.808484781225391e25	386.9769757964854	391.4664836361377	3.9671513212458183	0.9940783405974657
0.010472735394330081	4.175397242125487e-25	1.3031687323054233e9	6.808484781225391e25	386.9769757964854	391.4664836361377	3.9671513212458183	0.9940783405974657
0.010513124518817005	4.544842143891254e-25	1.3031687323054233e9	6.808484781225391e25	386.9769757964854	391.4664836361377	3.9671513212458183	0.9940783405974657
0.010553669407897892	4.925878188674881e-25	1.3031687323054233e9	6.808484781225391e25	386.9769757964854	391.4664836361377	3.9671513212458183	0.9940783405974657
0.010594370662294118	5.317247654907371e-25	1.3031687323054233e9	6.808484781225391e25	386.9769757964854	391.4664836361377	3.9671513212458183	0.9940783405974657
0.010635228885043802	5.717554379379141e-25	1.3031687323054233e9	6.808484781225391e25	386.9769757964854	391.4664836361377	3.9671513212458183	0.9940783405974657
0.010676244681510605	6.1253682426617e-25	1.3031687323054233e9	6.808484781225391e25	386.9769757964854	391.4664836361377	3.9671513212458183	0.9940783405974657
0.010717418659392965	6.539224614397169e-25	1.3031687323054233e9	6.808484781225391e25	386.9769757964854	391.4664836361377	3.9671513212458183	0.9940783405974657
0.010758751428732966	6.957623790812345e-25	1.3031687323054233e9	6.808484781225391e25	386.9769757964854	391.4664836361377	3.9671513212458183	0.9940783405974657
0.010800243601925252	7.379030424360873e-25	1.3031687323054233e9	6.808484781225391e25	386.9769757964854	391.4664836361377	3.9671513212458183	0.9940783405974657
0.010841895793726396	7.801872945395115e-25	1.3031687323054233e9	6.808484781225391e25	386.9769757964854	391.4664836361377	3.9671513212458183	0.9940783405974657
0.01088370862126367	8.22454297575406e-25	1.3031687323054233e9	6.808484781225391e25	386.9769757964854	391.4664836361377	3.9671513212458183	0.9940783405974657
0.010925682704044485	8.645394734175153e-25	1.3031687323054233e9	6.808484781225391e25	386.9769757964854	391.4664836361377	3.9671513212458183	0.9940783405974657
0.010967818663965444	9.06371926062892e-25	1.3031687323054233e9	6.808484781225391e25	386.9769757964854	391.4664836361377	3.9671513212458183	0.9940783405974657
0.011010117125321421	9.491736679204625e-25	1.3031687323054233e9	6.808484781225391e25	386.9769757964854	391.4664836361377	3.9671513212458183	0.9940783405974657
0.011052578714815083	9.932347834211482e-25	1.3031687323054233e9	6.808484781225391e25	386.9769757964854	391.4664836361377	3.9671513212458183	0.9940783405974657
0.011095204061566027	1.0383901493454728e-24	1.3031687323054233e9	6.808484781225391e25	386.9769757964854	391.4664836361377	3.9671513212458183	0.9940783405974657
0.011137993797119983	1.084470619591227e-24	1.3031687323054233e9	6.808484781225391e25	386.9769757964854	391.4664836361377	3.9671513212458183	0.9940783405974657
0.011180948555458436	1.1313029594209375e-24	1.3031687323054233e9	6.808484781225391e25	386.9769757964854	391.4664836361377	3.9671513212458183	0.9940783405974657
0.011224068973007878	1.1787097787875052e-24	1.3031687323054233e9	6.808484781225391e25	386.9769757964854	391.4664836361377	3.9671513212458183	0.9940783405974657
0.011267355688649103	1.2265094647264617e-24	1.3031687323054233e9	6.808484781225391e25	386.9769757964854	391.4664836361377	3.9671513212458183	0.9940783405974657
0.011310809343727002	1.2745161128033194e-24	1.3031687323054233e9	6.808484781225391e25	386.9769757964854	391.4664836361377	3.9671513212458183	0.9940783405974657
0.011354430582059684	1.3225394576023873e-24	1.3031687323054233e9	6.808484781225391e25	386.9769757964854	391.4664836361377	3.9671513212458183	0.9940783405974657
0.011398220049948346	1.3703848022462316e-24	1.3031687323054233e9	6.808484781225391e25	386.9769757964854	391.4664836361377	3.9671513212458183	0.9940783405974657
0.011442178396186711	1.4178863479840228e-24	1.3031687323054233e9	6.808484781225391e25	386.9769757964854	391.4664836361377	3.9671513212458183	0.9940783405974657
0.011486306272070495	1.4656931177078886e-24	1.3031687323054233e9	6.808484781225391e25	386.9769757964854	391.4664836361377	3.9671513212458183	0.9940783405974657
