r/R	D3	D5
1.00000e-03	1.40563e+39	2.39902e+50
2.13878e-02	6.46568e+41	1.07668e+53
4.17755e-02	2.39123e+42	4.11949e+53
6.21633e-02	5.11276e+42	8.88049e+53
8.25510e-02	8.79658e+42	1.51361e+54
1.02939e-01	1.30438e+43	2.27216e+54
1.23327e-01	1.78531e+43	3.09623e+54
1.43714e-01	2.24339e+43	3.94529e+54
1.64102e-01	2.71802e+43	4.84073e+54
1.84490e-01	3.12054e+43	5.62416e+54
2.04878e-01	3.50047e+43	6.41529e+54
2.25265e-01	3.84368e+43	7.07240e+54
2.45653e-01	4.08376e+43	7.67451e+54
2.66041e-01	4.22459e+43	8.21640e+54
2.86429e-01	4.26529e+43	8.32088e+54
3.06816e-01	4.22676e+43	8.46374e+54
3.27204e-01	4.19448e+43	8.50977e+54
3.47592e-01	4.07669e+43	8.52336e+54
3.67980e-01	3.82242e+43	8.22702e+54
3.88367e-01	3.60784e+43	7.98474e+54
4.08755e-01	3.31164e+43	7.56048e+54
4.29143e-01	3.07847e+43	7.23996e+54
4.49531e-01	2.72820e+43	6.71740e+54
4.69918e-01	2.50080e+43	6.27299e+54
4.90306e-01	2.18629e+43	5.73776e+54
5.10694e-01	1.94243e+43	5.26400e+54
5.31082e-01	1.67748e+43	4.76887e+54
5.51469e-01	1.44066e+43	4.31997e+54
5.71857e-01	1.20731e+43	3.81343e+54
5.92245e-01	1.01809e+43	3.43437e+54
6.12633e-01	8.50176e+42	3.01717e+54
6.33020e-01	6.97963e+42	2.62276e+54
6.53408e-01	5.71251e+42	2.27629e+54
6.73796e-01	4.55660e+42	1.93572e+54
6.94184e-01	3.60248e+42	1.67186e+54
7.14571e-01	2.82407e+42	1.39250e+54
7.34959e-01	2.20136e+42	1.17559e+54
7.55347e-01	1.63011e+42	9.63602e+53
7.75735e-01	1.20094e+42	7.87470e+53
7.96122e-01	8.94546e+41	6.36761e+53
8.16510e-01	6.11401e+41	4.98761e+53
8.36898e-01	4.05971e+41	3.78916e+53
8.57286e-01	2.65641e+41	2.82721e+53
8.77673e-01	1.63211e+41	2.02293e+53
8.98061e-01	9.18066e+40	1.38169e+53
9.18449e-01	4.36654e+40	8.41639e+52
9.38837e-01	1.77711e+40	4.64754e+52
9.59224e-01	5.12089e+39	2.02798e+52
9.79612e-01	6.77576e+38	5.22273e+51
1.00000e+00	4.26428e+28	1.83914e+43
