r/R	D3	D5
1.00000e-03	1.24071e+41	1.81333e+53
2.13878e-02	5.59330e+43	8.13674e+55
4.17755e-02	2.08615e+44	3.02696e+56
6.21633e-02	4.47594e+44	6.45088e+56
8.25510e-02	7.67072e+44	1.05740e+57
1.02939e-01	1.12454e+45	1.53200e+57
1.23327e-01	1.51471e+45	1.98448e+57
1.43714e-01	1.91490e+45	2.47475e+57
1.64102e-01	2.33076e+45	2.80260e+57
1.84490e-01	2.61251e+45	3.19005e+57
2.04878e-01	2.91048e+45	3.36857e+57
2.25265e-01	3.13066e+45	3.50369e+57
2.45653e-01	3.37448e+45	3.49013e+57
2.66041e-01	3.46394e+45	3.42429e+57
2.86429e-01	3.59491e+45	3.32364e+57
3.06816e-01	3.85615e+45	3.10300e+57
3.27204e-01	3.71992e+45	2.94652e+57
3.47592e-01	3.68970e+45	2.70181e+57
3.67980e-01	3.60769e+45	2.44077e+57
3.88367e-01	3.46522e+45	2.19995e+57
4.08755e-01	3.38284e+45	1.98237e+57
4.29143e-01	3.16549e+45	1.77043e+57
4.49531e-01	3.01464e+45	1.54804e+57
4.69918e-01	2.89974e+45	1.34657e+57
4.90306e-01	2.74098e+45	1.16416e+57
5.10694e-01	2.55646e+45	9.88509e+56
5.31082e-01	2.35869e+45	8.37419e+56
5.51469e-01	2.13025e+45	6.94165e+56
5.71857e-01	1.95155e+45	5.74008e+56
5.92245e-01	1.72449e+45	4.67989e+56
6.12633e-01	1.47916e+45	3.76134e+56
6.33020e-01	1.23520e+45	3.00301e+56
6.53408e-01	1.00572e+45	2.35866e+56
6.73796e-01	8.01840e+44	1.83753e+56
6.94184e-01	6.25315e+44	1.40968e+56
7.14571e-01	4.76916e+44	1.07218e+56
7.34959e-01	3.56589e+44	8.08063e+55
7.55347e-01	2.60776e+44	5.98048e+55
7.75735e-01	1.87065e+44	4.40390e+55
7.96122e-01	1.30466e+44	3.15832e+55
8.16510e-01	8.77826e+43	2.23690e+55
8.36898e-01	5.70521e+43	1.54275e+55
8.57286e-01	3.52792e+43	1.03312e+55
8.77673e-01	2.04972e+43	6.61477e+54
8.98061e-01	1.11483e+43	4.04077e+54
9.18449e-01	5.30680e+42	2.28350e+54
9.38837e-01	2.10878e+42	1.14280e+54
9.59224e-01	5.98798e+41	4.57615e+53
9.79612e-01	7.53275e+40	1.06126e+53
1.00000e+00	1.83644e+31	1.81825e+45
