r/R	D3	D5
1.00000e-03	7.70088e+37	2.57574e+49
2.13878e-02	3.50930e+40	1.16107e+52
4.17755e-02	1.38390e+41	4.40353e+52
6.21633e-02	2.89499e+41	9.56530e+52
8.25510e-02	4.95619e+41	1.66833e+53
1.02939e-01	7.71641e+41	2.57493e+53
1.23327e-01	1.05064e+42	3.64736e+53
1.43714e-01	1.35223e+42	4.74103e+53
1.64102e-01	1.67984e+42	5.82069e+53
1.84490e-01	1.96569e+42	7.28728e+53
2.04878e-01	2.32659e+42	8.27202e+53
2.25265e-01	2.56979e+42	9.45549e+53
2.45653e-01	2.91435e+42	1.05193e+54
2.66041e-01	3.19844e+42	1.16743e+54
2.86429e-01	3.24665e+42	1.21641e+54
3.06816e-01	3.42033e+42	1.41352e+54
3.27204e-01	3.59499e+42	1.46277e+54
3.47592e-01	3.59315e+42	1.50243e+54
3.67980e-01	3.56808e+42	1.53342e+54
3.88367e-01	3.47307e+42	1.61497e+54
4.08755e-01	3.50727e+42	1.65165e+54
4.29143e-01	3.39442e+42	1.56507e+54
4.49531e-01	3.39616e+42	1.55980e+54
4.69918e-01	2.99936e+42	1.60129e+54
4.90306e-01	2.97754e+42	1.51321e+54
5.10694e-01	2.72398e+42	1.59553e+54
5.31082e-01	2.41668e+42	1.50322e+54
5.51469e-01	2.23204e+42	1.51414e+54
5.71857e-01	2.10742e+42	1.43365e+54
5.92245e-01	1.89264e+42	1.40142e+54
6.12633e-01	1.69020e+42	1.36333e+54
6.33020e-01	1.52584e+42	1.27889e+54
6.53408e-01	1.37712e+42	1.22950e+54
6.73796e-01	1.18299e+42	1.17539e+54
6.94184e-01	1.03050e+42	1.12957e+54
7.14571e-01	8.95940e+41	1.06018e+54
7.34959e-01	7.77463e+41	1.00404e+54
7.55347e-01	6.34505e+41	9.12236e+53
7.75735e-01	5.26649e+41	8.54732e+53
7.96122e-01	4.24705e+41	7.73784e+53
8.16510e-01	3.25575e+41	6.87455e+53
8.36898e-01	2.39747e+41	5.66384e+53
8.57286e-01	1.61212e+41	4.43853e+53
8.77673e-01	1.06284e+41	3.44605e+53
8.98061e-01	6.16952e+40	2.50899e+53
9.18449e-01	3.13779e+40	1.57391e+53
9.38837e-01	1.36601e+40	9.34488e+52
9.59224e-01	3.97853e+39	4.11288e+52
9.79612e-01	5.05797e+38	9.90419e+51
1.00000e+00	6.39446e+29	1.00565e+45
