r/R	D3	D5
1.00000e-03	6.63388e+40	9.34854e+51
2.13878e-02	3.00641e+43	4.26481e+54
4.17755e-02	1.12553e+44	1.58690e+55
6.21633e-02	2.41037e+44	3.41952e+55
8.25510e-02	4.05311e+44	5.75360e+55
1.02939e-01	5.93900e+44	8.43582e+55
1.23327e-01	7.93878e+44	1.12446e+56
1.43714e-01	9.90104e+44	1.40587e+56
1.64102e-01	1.17287e+45	1.67479e+56
1.84490e-01	1.33454e+45	1.89773e+56
2.04878e-01	1.46337e+45	2.08642e+56
2.25265e-01	1.54758e+45	2.24156e+56
2.45653e-01	1.61660e+45	2.31779e+56
2.66041e-01	1.63264e+45	2.34949e+56
2.86429e-01	1.62108e+45	2.36663e+56
3.06816e-01	1.58184e+45	2.32110e+56
3.27204e-01	1.51327e+45	2.23411e+56
3.47592e-01	1.42761e+45	2.12462e+56
3.67980e-01	1.32293e+45	1.98860e+56
3.88367e-01	1.21435e+45	1.84589e+56
4.08755e-01	1.09759e+45	1.69284e+56
4.29143e-01	9.85025e+44	1.54854e+56
4.49531e-01	8.75327e+44	1.39849e+56
4.69918e-01	7.68115e+44	1.25431e+56
4.90306e-01	6.71114e+44	1.11296e+56
5.10694e-01	5.79869e+44	9.87660e+55
5.31082e-01	4.94047e+44	8.68980e+55
5.51469e-01	4.20023e+44	7.59140e+55
5.71857e-01	3.53042e+44	6.60674e+55
5.92245e-01	2.94578e+44	5.69237e+55
6.12633e-01	2.44527e+44	4.86953e+55
6.33020e-01	2.00148e+44	4.19775e+55
6.53408e-01	1.63478e+44	3.58099e+55
6.73796e-01	1.31336e+44	3.02543e+55
6.94184e-01	1.05129e+44	2.54552e+55
7.14571e-01	8.23185e+43	2.13081e+55
7.34959e-01	6.40417e+43	1.75580e+55
7.55347e-01	4.86605e+43	1.44284e+55
7.75735e-01	3.63547e+43	1.18153e+55
7.96122e-01	2.65031e+43	9.51566e+54
8.16510e-01	1.88294e+43	7.48664e+54
8.36898e-01	1.28869e+43	5.78020e+54
8.57286e-01	8.44513e+42	4.35194e+54
8.77673e-01	5.21762e+42	3.16079e+54
8.98061e-01	2.98114e+42	2.17431e+54
9.18449e-01	1.50723e+42	1.39391e+54
9.38837e-01	6.41164e+41	7.91401e+53
9.59224e-01	1.95303e+41	3.59709e+53
9.79612e-01	2.66412e+40	9.52134e+52
1.00000e+00	3.95220e+30	1.12978e+45
