r/R	D3	D5
1.00000e-03	2.97502e+42	4.82426e+53
2.13878e-02	1.34661e+45	2.17572e+56
4.17755e-02	4.93671e+45	7.99283e+56
6.21633e-02	1.04240e+46	1.67977e+57
8.25510e-02	1.71175e+46	2.75008e+57
1.02939e-01	2.43169e+46	3.87420e+57
1.23327e-01	3.13915e+46	4.94746e+57
1.43714e-01	3.75919e+46	5.85972e+57
1.64102e-01	4.24090e+46	6.52905e+57
1.84490e-01	4.59185e+46	6.99747e+57
2.04878e-01	4.76845e+46	7.17181e+57
2.25265e-01	4.77558e+46	7.11041e+57
2.45653e-01	4.66524e+46	6.82914e+57
2.66041e-01	4.40630e+46	6.44704e+57
2.86429e-01	4.10172e+46	5.91260e+57
3.06816e-01	3.74291e+46	5.32555e+57
3.27204e-01	3.35181e+46	4.68204e+57
3.47592e-01	2.94386e+46	4.10381e+57
3.67980e-01	2.54582e+46	3.52254e+57
3.88367e-01	2.19531e+46	2.99384e+57
4.08755e-01	1.85357e+46	2.51032e+57
4.29143e-01	1.54453e+46	2.08654e+57
4.49531e-01	1.28123e+46	1.72298e+57
4.69918e-01	1.06252e+46	1.40890e+57
4.90306e-01	8.60241e+45	1.14224e+57
5.10694e-01	6.94801e+45	9.27558e+56
5.31082e-01	5.56765e+45	7.44619e+56
5.51469e-01	4.45360e+45	5.92726e+56
5.71857e-01	3.48068e+45	4.70377e+56
5.92245e-01	2.73308e+45	3.70549e+56
6.12633e-01	2.12544e+45	2.89756e+56
6.33020e-01	1.63948e+45	2.26732e+56
6.53408e-01	1.24671e+45	1.76369e+56
6.73796e-01	9.44334e+44	1.35513e+56
6.94184e-01	7.03799e+44	1.03965e+56
7.14571e-01	5.17346e+44	7.84396e+55
7.34959e-01	3.77782e+44	5.95305e+55
7.55347e-01	2.70461e+44	4.41956e+55
7.75735e-01	1.88428e+44	3.25500e+55
7.96122e-01	1.29596e+44	2.36852e+55
8.16510e-01	8.60652e+43	1.68237e+55
8.36898e-01	5.54879e+43	1.18360e+55
8.57286e-01	3.40744e+43	8.09934e+54
8.77673e-01	1.98563e+43	5.29954e+54
8.98061e-01	1.06273e+43	3.32073e+54
9.18449e-01	5.08246e+42	1.93947e+54
9.38837e-01	2.02230e+42	9.99832e+53
9.59224e-01	5.76779e+41	4.13109e+53
9.79612e-01	7.32969e+40	9.92993e+52
1.00000e+00	1.39745e+31	1.43753e+45
