r/R	D3	D5
1.00000e-03	2.94793e+42	4.82094e+53
2.13878e-02	1.33422e+45	2.17429e+56
4.17755e-02	4.92361e+45	8.03665e+56
6.21633e-02	1.03760e+46	1.68479e+57
8.25510e-02	1.70286e+46	2.72633e+57
1.02939e-01	2.41419e+46	3.86695e+57
1.23327e-01	3.11423e+46	4.91682e+57
1.43714e-01	3.74756e+46	5.85090e+57
1.64102e-01	4.26043e+46	6.58904e+57
1.84490e-01	4.56466e+46	7.01210e+57
2.04878e-01	4.73553e+46	7.21764e+57
2.25265e-01	4.73750e+46	7.11190e+57
2.45653e-01	4.63352e+46	6.79065e+57
2.66041e-01	4.41371e+46	6.45288e+57
2.86429e-01	4.10338e+46	5.93545e+57
3.06816e-01	3.70409e+46	5.32304e+57
3.27204e-01	3.34714e+46	4.67490e+57
3.47592e-01	2.92361e+46	4.08810e+57
3.67980e-01	2.54052e+46	3.51579e+57
3.88367e-01	2.17732e+46	2.98466e+57
4.08755e-01	1.85077e+46	2.49036e+57
4.29143e-01	1.55384e+46	2.08204e+57
4.49531e-01	1.27666e+46	1.71925e+57
4.69918e-01	1.05319e+46	1.39040e+57
4.90306e-01	8.63091e+45	1.14001e+57
5.10694e-01	6.98892e+45	9.20977e+56
5.31082e-01	5.54440e+45	7.42703e+56
5.51469e-01	4.43187e+45	5.86149e+56
5.71857e-01	3.48941e+45	4.69192e+56
5.92245e-01	2.73174e+45	3.71593e+56
6.12633e-01	2.11797e+45	2.87843e+56
6.33020e-01	1.63290e+45	2.25316e+56
6.53408e-01	1.24032e+45	1.73889e+56
6.73796e-01	9.44670e+44	1.34548e+56
6.94184e-01	7.04852e+44	1.03243e+56
7.14571e-01	5.15383e+44	7.85172e+55
7.34959e-01	3.73823e+44	5.91973e+55
7.55347e-01	2.67562e+44	4.43903e+55
7.75735e-01	1.87884e+44	3.27241e+55
7.96122e-01	1.28713e+44	2.37402e+55
8.16510e-01	8.60442e+43	1.70018e+55
8.36898e-01	5.51499e+43	1.18702e+55
8.57286e-01	3.38187e+43	8.06732e+54
8.77673e-01	1.98325e+43	5.31432e+54
8.98061e-01	1.06400e+43	3.33598e+54
9.18449e-01	5.08292e+42	1.93164e+54
9.38837e-01	2.01944e+42	9.92605e+53
9.59224e-01	5.76782e+41	4.11319e+53
9.79612e-01	7.29401e+40	9.99103e+52
1.00000e+00	1.39626e+31	1.42248e+45
