r/R	D3	D5
1.00000e-03	6.54609e+39	9.00879e+50
2.13878e-02	3.01098e+42	4.16741e+53
4.17755e-02	1.10765e+43	1.54943e+54
6.21633e-02	2.40252e+43	3.32277e+54
8.25510e-02	4.01069e+43	5.66343e+54
1.02939e-01	5.99280e+43	8.40256e+54
1.23327e-01	7.98189e+43	1.13299e+55
1.43714e-01	1.02406e+44	1.44930e+55
1.64102e-01	1.23340e+44	1.74245e+55
1.84490e-01	1.39803e+44	2.03025e+55
2.04878e-01	1.55891e+44	2.29739e+55
2.25265e-01	1.72179e+44	2.51433e+55
2.45653e-01	1.79104e+44	2.66817e+55
2.66041e-01	1.86535e+44	2.79619e+55
2.86429e-01	1.87008e+44	2.82614e+55
3.06816e-01	1.86451e+44	2.88932e+55
3.27204e-01	1.80895e+44	2.86169e+55
3.47592e-01	1.75256e+44	2.80905e+55
3.67980e-01	1.64415e+44	2.69157e+55
3.88367e-01	1.54077e+44	2.56600e+55
4.08755e-01	1.42625e+44	2.43818e+55
4.29143e-01	1.31460e+44	2.28746e+55
4.49531e-01	1.18304e+44	2.13552e+55
4.69918e-01	1.04803e+44	1.97779e+55
4.90306e-01	9.37077e+43	1.81695e+55
5.10694e-01	8.18889e+43	1.64056e+55
5.31082e-01	7.19325e+43	1.48593e+55
5.51469e-01	6.25593e+43	1.34520e+55
5.71857e-01	5.26639e+43	1.19484e+55
5.92245e-01	4.46232e+43	1.08544e+55
6.12633e-01	3.72905e+43	9.25146e+54
6.33020e-01	3.13358e+43	8.21589e+54
6.53408e-01	2.59279e+43	7.41817e+54
6.73796e-01	2.09256e+43	6.11038e+54
6.94184e-01	1.69621e+43	5.36620e+54
7.14571e-01	1.37285e+43	4.64725e+54
7.34959e-01	1.06203e+43	3.89491e+54
7.55347e-01	8.35212e+42	3.29595e+54
7.75735e-01	6.37159e+42	2.80097e+54
7.96122e-01	4.77000e+42	2.25754e+54
8.16510e-01	3.41565e+42	1.94798e+54
8.36898e-01	2.51066e+42	1.52469e+54
8.57286e-01	1.69389e+42	1.22605e+54
8.77673e-01	1.11499e+42	9.41342e+53
8.98061e-01	6.81845e+41	7.11373e+53
9.18449e-01	3.84508e+41	5.00319e+53
9.38837e-01	1.78550e+41	3.29743e+53
9.59224e-01	5.67815e+40	1.67046e+53
9.79612e-01	7.51589e+39	4.39320e+52
1.00000e+00	1.97285e+30	8.45443e+44
