r/R	D3	D5
1.00000e-03	4.37365e+39	5.93588e+50
2.13878e-02	1.98096e+42	2.70612e+53
4.17755e-02	7.43500e+42	1.00942e+54
6.21633e-02	1.59815e+43	2.18114e+54
8.25510e-02	2.71243e+43	3.72501e+54
1.02939e-01	4.01103e+43	5.50263e+54
1.23327e-01	5.41229e+43	7.47473e+54
1.43714e-01	6.83356e+43	9.53578e+54
1.64102e-01	8.20796e+43	1.14284e+55
1.84490e-01	9.43948e+43	1.33703e+55
2.04878e-01	1.06717e+44	1.49713e+55
2.25265e-01	1.13212e+44	1.63901e+55
2.45653e-01	1.20559e+44	1.73939e+55
2.66041e-01	1.22734e+44	1.82555e+55
2.86429e-01	1.23577e+44	1.87397e+55
3.06816e-01	1.22980e+44	1.88472e+55
3.27204e-01	1.19790e+44	1.86302e+55
3.47592e-01	1.14707e+44	1.85368e+55
3.67980e-01	1.09505e+44	1.76158e+55
3.88367e-01	1.02404e+44	1.69454e+55
4.08755e-01	9.48517e+43	1.57587e+55
4.29143e-01	8.64119e+43	1.51726e+55
4.49531e-01	7.72638e+43	1.39820e+55
4.69918e-01	6.92910e+43	1.30202e+55
4.90306e-01	6.17826e+43	1.18740e+55
5.10694e-01	5.40759e+43	1.08185e+55
5.31082e-01	4.71822e+43	1.01982e+55
5.51469e-01	4.13010e+43	8.64488e+54
5.71857e-01	3.51911e+43	7.83288e+54
5.92245e-01	3.01744e+43	7.11480e+54
6.12633e-01	2.50956e+43	6.28715e+54
6.33020e-01	2.09270e+43	5.42613e+54
6.53408e-01	1.73361e+43	4.83561e+54
6.73796e-01	1.44181e+43	4.20276e+54
6.94184e-01	1.16358e+43	3.74951e+54
7.14571e-01	9.64671e+42	3.33491e+54
7.34959e-01	7.76524e+42	2.80124e+54
7.55347e-01	5.99004e+42	2.41100e+54
7.75735e-01	4.76386e+42	2.13285e+54
7.96122e-01	3.56426e+42	1.81018e+54
8.16510e-01	2.74830e+42	1.56025e+54
8.36898e-01	2.07885e+42	1.39176e+54
8.57286e-01	1.45848e+42	1.14350e+54
8.77673e-01	1.05680e+42	1.02599e+54
8.98061e-01	6.56248e+41	7.89167e+53
9.18449e-01	3.35837e+41	5.35115e+53
9.38837e-01	1.62997e+41	3.41260e+53
9.59224e-01	4.87489e+40	1.59433e+53
9.79612e-01	5.95065e+39	3.77733e+52
1.00000e+00	1.90473e+30	8.04641e+44
