r/R	D3	D5
1.00000e-03	7.72624e+38	2.99774e+50
2.13878e-02	3.52269e+41	1.37549e+53
4.17755e-02	1.34653e+42	5.10607e+53
6.21633e-02	2.93788e+42	1.12322e+54
8.25510e-02	5.05442e+42	1.95876e+54
1.02939e-01	7.64068e+42	2.92984e+54
1.23327e-01	1.06252e+43	4.05838e+54
1.43714e-01	1.38987e+43	5.43942e+54
1.64102e-01	1.71547e+43	6.74483e+54
1.84490e-01	2.05953e+43	8.08158e+54
2.04878e-01	2.40507e+43	9.47098e+54
2.25265e-01	2.71211e+43	1.07574e+55
2.45653e-01	3.00028e+43	1.20711e+55
2.66041e-01	3.26112e+43	1.32421e+55
2.86429e-01	3.49177e+43	1.41238e+55
3.06816e-01	3.73084e+43	1.49469e+55
3.27204e-01	3.81653e+43	1.56628e+55
3.47592e-01	3.89832e+43	1.62953e+55
3.67980e-01	3.93631e+43	1.66023e+55
3.88367e-01	3.99665e+43	1.68729e+55
4.08755e-01	3.84525e+43	1.67588e+55
4.29143e-01	3.75240e+43	1.65217e+55
4.49531e-01	3.58833e+43	1.62948e+55
4.69918e-01	3.41523e+43	1.58686e+55
4.90306e-01	3.21292e+43	1.52884e+55
5.10694e-01	2.95185e+43	1.46468e+55
5.31082e-01	2.71529e+43	1.38409e+55
5.51469e-01	2.45946e+43	1.30045e+55
5.71857e-01	2.20497e+43	1.22254e+55
5.92245e-01	1.94961e+43	1.13372e+55
6.12633e-01	1.71258e+43	1.04299e+55
6.33020e-01	1.48168e+43	9.49224e+54
6.53408e-01	1.26127e+43	8.55314e+54
6.73796e-01	1.05971e+43	7.68549e+54
6.94184e-01	8.78591e+42	6.82860e+54
7.14571e-01	7.19787e+42	6.00668e+54
7.34959e-01	5.81232e+42	5.18747e+54
7.55347e-01	4.58180e+42	4.43884e+54
7.75735e-01	3.54267e+42	3.80725e+54
7.96122e-01	2.66399e+42	3.11814e+54
8.16510e-01	1.93210e+42	2.54683e+54
8.36898e-01	1.36109e+42	2.02788e+54
8.57286e-01	9.12615e+41	1.56484e+54
8.77673e-01	5.76805e+41	1.16458e+54
8.98061e-01	3.41226e+41	8.18993e+53
9.18449e-01	1.77665e+41	5.32299e+53
9.38837e-01	7.73873e+40	3.07162e+53
9.59224e-01	2.44729e+40	1.42987e+53
9.79612e-01	3.54807e+39	3.94454e+52
1.00000e+00	2.27949e+30	2.17464e+45
