r/R	D3	D5
1.00000e-03	9.19997e+37	4.07532e+50
2.13878e-02	4.17897e+40	1.86344e+53
4.17755e-02	1.58398e+41	7.10024e+53
6.21633e-02	3.45305e+41	1.51842e+54
8.25510e-02	5.92922e+41	2.63218e+54
1.02939e-01	8.88209e+41	3.91439e+54
1.23327e-01	1.23621e+42	5.50009e+54
1.43714e-01	1.61360e+42	7.11964e+54
1.64102e-01	2.09778e+42	8.80950e+54
1.84490e-01	2.48941e+42	1.04040e+55
2.04878e-01	2.83323e+42	1.20662e+55
2.25265e-01	3.24670e+42	1.33581e+55
2.45653e-01	3.66578e+42	1.46145e+55
2.66041e-01	4.05147e+42	1.58602e+55
2.86429e-01	4.38018e+42	1.64871e+55
3.06816e-01	4.61169e+42	1.71812e+55
3.27204e-01	4.78198e+42	1.77310e+55
3.47592e-01	5.05841e+42	1.80508e+55
3.67980e-01	5.18761e+42	1.81941e+55
3.88367e-01	5.39684e+42	1.80082e+55
4.08755e-01	5.28719e+42	1.77497e+55
4.29143e-01	5.44982e+42	1.77146e+55
4.49531e-01	5.29533e+42	1.69303e+55
4.69918e-01	5.24577e+42	1.61762e+55
4.90306e-01	5.14688e+42	1.53601e+55
5.10694e-01	5.12606e+42	1.46189e+55
5.31082e-01	4.97529e+42	1.38259e+55
5.51469e-01	4.79133e+42	1.29675e+55
5.71857e-01	4.60831e+42	1.21015e+55
5.92245e-01	4.45950e+42	1.11989e+55
6.12633e-01	4.18797e+42	1.03173e+55
6.33020e-01	3.95908e+42	9.46452e+54
6.53408e-01	3.72706e+42	8.71050e+54
6.73796e-01	3.45915e+42	7.83340e+54
6.94184e-01	3.23040e+42	7.06903e+54
7.14571e-01	2.98609e+42	6.29574e+54
7.34959e-01	2.73138e+42	5.54625e+54
7.55347e-01	2.52050e+42	4.89161e+54
7.75735e-01	2.23005e+42	4.29190e+54
7.96122e-01	1.96519e+42	3.72693e+54
8.16510e-01	1.72675e+42	3.16820e+54
8.36898e-01	1.49250e+42	2.70463e+54
8.57286e-01	1.24365e+42	2.18611e+54
8.77673e-01	9.89231e+41	1.73112e+54
8.98061e-01	7.46136e+41	1.30466e+54
9.18449e-01	4.74863e+41	9.07612e+53
9.38837e-01	2.30309e+41	5.45757e+53
9.59224e-01	7.94447e+40	2.59942e+53
9.79612e-01	1.22834e+40	7.33376e+52
1.00000e+00	2.49855e+30	1.10260e+45
