r/R	D3	D5
1.00000e-03	2.77576e+38	6.07431e+49
2.13878e-02	1.24083e+41	2.74781e+52
4.17755e-02	4.67079e+41	1.03039e+53
6.21633e-02	1.01741e+42	2.18600e+53
8.25510e-02	1.80333e+42	3.74032e+53
1.02939e-01	2.60282e+42	5.77671e+53
1.23327e-01	3.55002e+42	8.00689e+53
1.43714e-01	4.60918e+42	1.05000e+54
1.64102e-01	5.68151e+42	1.31039e+54
1.84490e-01	6.70560e+42	1.52203e+54
2.04878e-01	7.59033e+42	1.78790e+54
2.25265e-01	8.68926e+42	2.01069e+54
2.45653e-01	9.39398e+42	2.28128e+54
2.66041e-01	1.00033e+43	2.40331e+54
2.86429e-01	1.07295e+43	2.58976e+54
3.06816e-01	1.07135e+43	2.73690e+54
3.27204e-01	1.09968e+43	2.90760e+54
3.47592e-01	1.06411e+43	2.91800e+54
3.67980e-01	1.06486e+43	3.05552e+54
3.88367e-01	1.05354e+43	2.99008e+54
4.08755e-01	1.05928e+43	3.02640e+54
4.29143e-01	9.69671e+42	3.11209e+54
4.49531e-01	9.27426e+42	3.04882e+54
4.69918e-01	8.65819e+42	2.95951e+54
4.90306e-01	8.13370e+42	2.94269e+54
5.10694e-01	7.86037e+42	2.82615e+54
5.31082e-01	6.94106e+42	2.76259e+54
5.51469e-01	6.34897e+42	2.61493e+54
5.71857e-01	6.00787e+42	2.61831e+54
5.92245e-01	5.28429e+42	2.51939e+54
6.12633e-01	4.74708e+42	2.38872e+54
6.33020e-01	4.18903e+42	2.25195e+54
6.53408e-01	3.85470e+42	2.31207e+54
6.73796e-01	3.41941e+42	2.26967e+54
6.94184e-01	2.96154e+42	2.15483e+54
7.14571e-01	2.52105e+42	1.96764e+54
7.34959e-01	2.20208e+42	1.88284e+54
7.55347e-01	1.88357e+42	1.80472e+54
7.75735e-01	1.58734e+42	1.69970e+54
7.96122e-01	1.21290e+42	1.48677e+54
8.16510e-01	8.91697e+41	1.24601e+54
8.36898e-01	6.32191e+41	1.00635e+54
8.57286e-01	4.44506e+41	8.23583e+53
8.77673e-01	2.89406e+41	6.38420e+53
8.98061e-01	1.68236e+41	4.50065e+53
9.18449e-01	8.38933e+40	2.87042e+53
9.38837e-01	3.51501e+40	1.60132e+53
9.59224e-01	1.00694e+40	6.84928e+52
9.79612e-01	1.48740e+39	1.93140e+52
1.00000e+00	2.19780e+30	2.01171e+45
