r/R	D3	D5
1.00000e-03	1.47458e+40	2.26420e+51
2.13878e-02	6.68628e+42	1.03464e+54
4.17755e-02	2.50976e+43	3.87270e+54
6.21633e-02	5.41104e+43	8.38881e+54
8.25510e-02	9.20603e+43	1.43179e+55
1.02939e-01	1.35815e+44	2.12786e+55
1.23327e-01	1.84232e+44	2.88662e+55
1.43714e-01	2.33286e+44	3.67064e+55
1.64102e-01	2.80794e+44	4.43303e+55
1.84490e-01	3.25202e+44	5.14294e+55
2.04878e-01	3.62492e+44	5.81017e+55
2.25265e-01	3.93851e+44	6.32622e+55
2.45653e-01	4.17330e+44	6.81199e+55
2.66041e-01	4.32060e+44	7.13459e+55
2.86429e-01	4.38586e+44	7.28187e+55
3.06816e-01	4.36859e+44	7.35616e+55
3.27204e-01	4.28506e+44	7.32741e+55
3.47592e-01	4.13776e+44	7.18264e+55
3.67980e-01	3.94840e+44	6.98533e+55
3.88367e-01	3.72830e+44	6.71450e+55
4.08755e-01	3.47146e+44	6.37477e+55
4.29143e-01	3.18935e+44	5.97592e+55
4.49531e-01	2.89922e+44	5.60291e+55
4.69918e-01	2.60934e+44	5.18634e+55
4.90306e-01	2.32902e+44	4.78188e+55
5.10694e-01	2.06665e+44	4.35871e+55
5.31082e-01	1.80114e+44	3.95999e+55
5.51469e-01	1.56266e+44	3.57757e+55
5.71857e-01	1.35484e+44	3.21410e+55
5.92245e-01	1.14645e+44	2.83200e+55
6.12633e-01	9.72806e+43	2.52459e+55
6.33020e-01	8.12515e+43	2.22455e+55
6.53408e-01	6.79490e+43	1.94051e+55
6.73796e-01	5.57898e+43	1.68757e+55
6.94184e-01	4.54413e+43	1.47856e+55
7.14571e-01	3.62745e+43	1.25808e+55
7.34959e-01	2.87540e+43	1.07404e+55
7.55347e-01	2.22783e+43	9.01498e+54
7.75735e-01	1.70084e+43	7.55532e+54
7.96122e-01	1.26118e+43	6.24379e+54
8.16510e-01	9.09204e+42	5.04641e+54
8.36898e-01	6.32623e+42	4.00290e+54
8.57286e-01	4.20984e+42	3.07427e+54
8.77673e-01	2.64987e+42	2.27627e+54
8.98061e-01	1.53790e+42	1.59606e+54
9.18449e-01	7.89298e+41	1.04138e+54
9.38837e-01	3.39989e+41	6.03715e+53
9.59224e-01	1.04649e+41	2.77295e+53
9.79612e-01	1.41745e+40	7.28308e+52
1.00000e+00	2.17525e+30	9.23791e+44
