r/R	D3	D5
1.00000e-03	3.52359e+36	1.61948e+49
2.13878e-02	1.60314e+39	7.37329e+51
4.17755e-02	6.06658e+39	2.83883e+52
6.21633e-02	1.33841e+40	6.15963e+52
8.25510e-02	2.33484e+40	1.06820e+53
1.02939e-01	3.58590e+40	1.63908e+53
1.23327e-01	4.96408e+40	2.29995e+53
1.43714e-01	6.55773e+40	3.02969e+53
1.64102e-01	8.23871e+40	3.81061e+53
1.84490e-01	1.00276e+41	4.68613e+53
2.04878e-01	1.18997e+41	5.53359e+53
2.25265e-01	1.37411e+41	6.39760e+53
2.45653e-01	1.57598e+41	7.28817e+53
2.66041e-01	1.73417e+41	8.09343e+53
2.86429e-01	1.91213e+41	8.91535e+53
3.06816e-01	2.08957e+41	9.82353e+53
3.27204e-01	2.22938e+41	1.04555e+54
3.47592e-01	2.36376e+41	1.09708e+54
3.67980e-01	2.45669e+41	1.15642e+54
3.88367e-01	2.53140e+41	1.20418e+54
4.08755e-01	2.59535e+41	1.23696e+54
4.29143e-01	2.65939e+41	1.26866e+54
4.49531e-01	2.70091e+41	1.29130e+54
4.69918e-01	2.75608e+41	1.29767e+54
4.90306e-01	2.74978e+41	1.30575e+54
5.10694e-01	2.72003e+41	1.29334e+54
5.31082e-01	2.70935e+41	1.28358e+54
5.51469e-01	2.60871e+41	1.24874e+54
5.71857e-01	2.54021e+41	1.22393e+54
5.92245e-01	2.45825e+41	1.19691e+54
6.12633e-01	2.36831e+41	1.16137e+54
6.33020e-01	2.25653e+41	1.11625e+54
6.53408e-01	2.15860e+41	1.05200e+54
6.73796e-01	2.02681e+41	1.00142e+54
6.94184e-01	1.90980e+41	9.42216e+53
7.14571e-01	1.76365e+41	8.78694e+53
7.34959e-01	1.63661e+41	8.15278e+53
7.55347e-01	1.50872e+41	7.52507e+53
7.75735e-01	1.36556e+41	6.87444e+53
7.96122e-01	1.23010e+41	6.19643e+53
8.16510e-01	1.08364e+41	5.53146e+53
8.36898e-01	9.26976e+40	4.83090e+53
8.57286e-01	7.83140e+40	4.10909e+53
8.77673e-01	6.31380e+40	3.40287e+53
8.98061e-01	4.78951e+40	2.68667e+53
9.18449e-01	3.10153e+40	1.93208e+53
9.38837e-01	1.55875e+40	1.21060e+53
9.59224e-01	5.61340e+39	6.06774e+52
9.79612e-01	9.31463e+38	1.82172e+52
1.00000e+00	6.21759e+29	1.01838e+45
