mDM_(MeV)	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	const
1.00000e+04	1.14380e+39	2.34683e+31	9.29882e+38	2.10402e+31	1.33325e+50	3.24041e+50	1.08536e+50	3.98407e+50	1.59676e+51	1.29930e+51	2.15229e+25
1.25893e+04	9.08649e+38	1.17645e+31	7.38719e+38	1.05474e+31	1.05908e+50	2.57418e+50	8.62168e+49	3.16492e+50	1.26843e+51	1.03214e+51	1.35801e+25
1.58489e+04	7.21825e+38	5.89716e+30	5.86840e+38	5.28712e+30	8.41284e+49	2.04490e+50	6.84867e+49	2.51415e+50	1.00760e+51	8.19899e+50	8.56844e+24
1.99526e+04	5.73403e+38	2.95597e+30	4.66178e+38	2.65020e+30	6.68272e+49	1.62441e+50	5.44024e+49	1.99716e+50	8.00395e+50	6.51297e+50	5.40632e+24
2.51189e+04	4.55493e+38	1.48165e+30	3.70320e+38	1.32839e+30	5.30838e+49	1.29038e+50	4.32142e+49	1.58647e+50	6.35796e+50	5.17361e+50	3.41116e+24
3.16228e+04	3.61826e+38	7.42644e+29	2.94170e+38	6.65830e+29	4.21667e+49	1.02502e+50	3.43269e+49	1.26022e+50	5.05043e+50	4.10965e+50	2.15230e+24
3.98107e+04	2.87418e+38	3.72228e+29	2.33676e+38	3.33728e+29	3.34946e+49	8.14227e+49	2.72671e+49	1.00105e+50	4.01178e+50	3.26448e+50	1.35801e+24
5.01187e+04	2.28310e+38	1.86566e+29	1.85621e+38	1.67270e+29	2.66060e+49	6.46778e+49	2.16593e+49	7.95179e+49	3.18672e+50	2.59311e+50	8.56844e+23
6.30957e+04	1.81357e+38	9.35081e+28	1.47447e+38	8.38370e+28	2.11340e+49	5.13764e+49	1.72047e+49	6.31643e+49	2.53133e+50	2.05981e+50	5.40632e+23
7.94328e+04	1.44059e+38	4.68666e+28	1.17124e+38	4.20195e+28	1.67875e+49	4.08103e+49	1.36663e+49	5.01739e+49	2.01073e+50	1.63618e+50	3.41116e+23
1.00000e+05	1.14432e+38	2.34896e+28	9.30362e+37	2.10602e+28	1.33348e+49	3.24171e+49	1.08556e+49	3.98549e+49	1.59719e+50	1.29968e+50	2.15230e+23
1.25893e+05	9.08973e+37	1.17729e+28	7.39021e+37	1.05553e+28	1.05923e+49	2.57501e+49	8.62292e+48	3.16581e+49	1.26870e+50	1.03238e+50	1.35801e+23
1.58489e+05	7.22029e+37	5.90053e+27	5.87031e+37	5.29029e+27	8.41377e+48	2.04542e+49	6.84946e+48	2.51471e+49	1.00777e+50	8.20051e+49	8.56844e+22
1.99526e+05	5.73531e+37	2.95731e+27	4.66299e+37	2.65146e+27	6.68332e+48	1.62474e+49	5.44073e+48	1.99752e+49	8.00502e+49	6.51392e+49	5.40632e+22
