mDM_(MeV)	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	const
1.00000e+04	3.40812e+39	1.78002e+32	3.10359e+39	1.69898e+32	4.00368e+50	1.08435e+51	3.65080e+50	1.19022e+51	4.78264e+51	4.35918e+51	5.35500e+23
1.25893e+04	2.70761e+39	8.92410e+31	2.46571e+39	8.51786e+31	3.18042e+50	8.61450e+50	2.90011e+50	9.45544e+50	3.79934e+51	3.46296e+51	3.37877e+23
1.58489e+04	2.15101e+39	4.47379e+31	1.95885e+39	4.27016e+31	2.52642e+50	6.84348e+50	2.30375e+50	7.51149e+50	3.01815e+51	2.75095e+51	2.13186e+23
1.99526e+04	1.70879e+39	2.24266e+31	1.55615e+39	2.14060e+31	2.00688e+50	5.43644e+50	1.83000e+50	5.96708e+50	2.39754e+51	2.18529e+51	1.34511e+23
2.51189e+04	1.35745e+39	1.12418e+31	1.23620e+39	1.07302e+31	1.59417e+50	4.31862e+50	1.45367e+50	4.74013e+50	1.90453e+51	1.73592e+51	8.48710e+22
3.16228e+04	1.07833e+39	5.63496e+30	9.82017e+38	5.37853e+30	1.26632e+50	3.43059e+50	1.15472e+50	3.76541e+50	1.51288e+51	1.37895e+51	5.35500e+22
3.98107e+04	8.56595e+38	2.82446e+30	7.80088e+38	2.69593e+30	1.00590e+50	2.72513e+50	9.17242e+49	2.99109e+50	1.20176e+51	1.09537e+51	3.37877e+22
5.01187e+04	6.80446e+38	1.41570e+30	6.19673e+38	1.35128e+30	7.99024e+49	2.16472e+50	7.28602e+49	2.37599e+50	9.54612e+50	8.70106e+50	2.13186e+22
6.30957e+04	5.40515e+38	7.09575e+29	4.92241e+38	6.77288e+29	6.34695e+49	1.71955e+50	5.78756e+49	1.88736e+50	7.58289e+50	6.91163e+50	1.34511e+22
7.94328e+04	4.29357e+38	3.55648e+29	3.91012e+38	3.39466e+29	5.04161e+49	1.36592e+50	4.59727e+49	1.49922e+50	6.02340e+50	5.49019e+50	8.48710e+21
