mDM_(MeV)	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	const
1.00000e+04	1.56900e+39	4.23625e+31	1.32985e+39	3.88900e+31	1.83276e+50	4.63762e+50	1.55564e+50	5.46900e+50	2.19346e+51	1.86091e+51	8.34577e+24
1.25893e+04	1.24645e+39	2.12366e+31	1.05648e+39	1.94960e+31	1.45588e+50	3.68417e+50	1.23574e+50	4.34458e+50	1.74244e+51	1.47828e+51	5.26583e+24
1.58489e+04	9.90183e+38	1.06455e+31	8.39277e+38	9.77302e+30	1.15649e+50	2.92668e+50	9.81621e+49	3.45128e+50	1.38415e+51	1.17431e+51	3.32251e+24
1.99526e+04	7.86589e+38	5.33617e+30	6.66717e+38	4.89887e+30	9.18657e+49	2.32490e+50	7.79752e+49	2.74161e+50	1.09952e+51	9.32831e+50	2.09636e+24
2.51189e+04	6.24846e+38	2.67474e+30	5.29627e+38	2.45555e+30	7.29731e+49	1.84683e+50	6.19393e+49	2.17784e+50	8.73407e+50	7.41002e+50	1.32272e+24
3.16228e+04	4.96356e+38	1.34067e+30	4.20720e+38	1.23081e+30	5.79657e+49	1.46705e+50	4.92011e+49	1.72999e+50	6.93791e+50	5.88616e+50	8.34577e+23
3.98107e+04	3.94285e+38	6.71976e+29	3.34203e+38	6.16914e+29	4.60444e+49	1.16536e+50	3.90824e+49	1.37422e+50	5.51110e+50	4.67565e+50	5.26583e+23
5.01187e+04	3.13201e+38	3.36806e+29	2.65476e+38	3.09209e+29	3.65748e+49	9.25699e+49	3.10446e+49	1.09160e+50	4.37770e+50	3.71407e+50	3.32251e+23
6.30957e+04	2.48790e+38	1.68811e+29	2.10881e+38	1.54979e+29	2.90526e+49	7.35324e+49	2.46598e+49	8.67109e+49	3.47738e+50	2.95024e+50	2.09636e+23
7.94328e+04	1.97625e+38	8.46089e+28	1.67512e+38	7.76765e+28	2.30775e+49	5.84098e+49	1.95881e+49	6.88779e+49	2.76221e+50	2.34348e+50	1.32272e+23
1.00000e+05	1.56981e+38	4.24062e+28	1.33062e+38	3.89317e+28	1.83312e+49	4.63972e+49	1.55595e+49	5.47123e+49	2.19412e+50	1.86151e+50	8.34577e+22
1.25893e+05	1.24696e+38	2.12539e+28	1.05696e+38	1.95125e+28	1.45611e+49	3.68550e+49	1.23594e+49	4.34599e+49	1.74286e+50	1.47866e+50	5.26583e+22
1.58489e+05	9.90505e+37	1.06524e+28	8.39583e+37	9.77962e+27	1.15663e+49	2.92752e+49	9.81746e+48	3.45217e+49	1.38441e+50	1.17455e+50	3.32251e+22
1.99526e+05	7.86792e+37	5.33893e+27	6.66910e+37	4.90150e+27	9.18748e+48	2.32542e+49	7.79830e+48	2.74217e+49	1.09968e+50	9.32983e+49	2.09636e+22
2.51189e+05	6.24975e+37	2.67583e+27	5.29749e+37	2.45660e+27	7.29789e+48	1.84716e+49	6.19442e+48	2.17820e+49	8.73512e+49	7.41098e+49	1.32272e+22
3.16228e+05	4.96437e+37	1.34111e+27	4.20797e+37	1.23123e+27	5.79692e+48	1.46726e+49	4.92041e+48	1.73021e+49	6.93857e+49	5.88677e+49	8.34577e+21
3.98107e+05	3.94336e+37	6.72150e+26	3.34252e+37	6.17080e+26	4.60466e+48	1.16549e+49	3.90846e+48	1.37436e+49	5.51153e+49	4.67605e+49	5.26583e+21
5.01187e+05	3.13233e+37	3.36875e+26	2.65507e+37	3.09275e+26	3.65762e+48	9.25785e+48	3.10461e+48	1.09169e+49	4.37797e+49	3.71434e+49	3.32251e+21
6.30957e+05	2.48810e+37	1.68838e+26	2.10900e+37	1.55005e+26	2.90536e+48	7.35380e+48	2.46608e+48	8.67166e+48	3.47754e+49	2.95042e+49	2.09636e+21
7.94328e+05	1.97637e+37	8.46199e+25	1.67524e+37	7.76869e+25	2.30780e+48	5.84133e+48	1.95887e+48	6.88819e+48	2.76230e+49	2.34359e+49	1.32272e+21
1.00000e+06	1.56989e+37	4.24105e+25	1.33069e+37	3.89358e+25	1.83315e+48	4.63993e+48	1.55598e+48	5.47148e+48	2.19417e+49	1.86155e+49	8.34577e+20
1.25893e+06	1.24701e+37	2.12557e+25	1.05701e+37	1.95142e+25	1.45616e+48	3.68557e+48	1.23592e+48	4.34616e+48	1.74290e+49	1.47865e+49	5.26583e+20
1.58489e+06	9.90535e+36	1.06531e+25	8.39613e+36	9.78028e+24	1.15669e+48	2.92758e+48	9.81752e+47	3.45231e+48	1.38452e+49	1.17456e+49	3.32251e+20
1.99526e+06	7.86808e+36	5.33920e+24	6.66929e+36	4.90176e+24	9.18775e+47	2.32545e+48	7.79794e+47	2.74222e+48	1.09973e+49	9.32973e+48	2.09636e+20
2.51189e+06	6.24980e+36	2.67594e+24	5.29760e+36	2.45670e+24	7.29657e+47	1.84723e+48	6.19534e+47	2.17822e+48	8.73555e+48	7.41135e+48	1.32272e+20
3.16228e+06	4.96429e+36	1.34115e+24	4.20802e+36	1.23127e+24	5.79625e+47	1.46703e+48	4.91792e+47	1.72988e+48	6.93618e+48	5.88482e+48	8.34577e+19
3.98107e+06	3.94310e+36	6.72166e+23	3.34252e+36	6.17096e+23	4.60499e+47	1.16541e+48	3.90765e+47	1.37415e+48	5.51031e+48	4.67644e+48	5.26583e+19
5.01187e+06	3.13180e+36	3.36880e+23	2.65499e+36	3.09280e+23	3.65890e+47	9.25827e+47	3.10383e+47	1.09142e+48	4.37816e+48	3.71241e+48	3.32251e+19
6.30957e+06	2.48717e+36	1.68838e+23	2.10880e+36	1.55006e+23	2.90020e+47	7.35467e+47	2.46839e+47	8.66761e+47	3.47685e+48	2.95136e+48	2.09636e+19
7.94328e+06	1.97482e+36	8.46166e+22	1.67482e+36	7.76857e+22	2.30241e+47	5.84096e+47	1.95950e+47	6.88146e+47	2.75997e+48	2.34393e+48	1.32272e+19
1.00000e+07	1.56741e+36	4.24051e+22	1.32989e+36	3.89328e+22	1.82822e+47	4.63102e+47	1.54973e+47	5.46431e+47	2.18593e+48	1.85554e+48	8.34578e+18
1.25893e+07	1.24316e+36	2.12481e+22	1.05557e+36	1.95093e+22	1.44202e+47	3.68094e+47	1.23474e+47	4.33301e+47	1.73799e+48	1.48178e+48	5.26583e+18
1.58489e+07	9.84659e+35	1.06430e+22	8.37092e+35	9.77314e+21	1.14033e+47	2.91808e+47	9.76872e+46	3.43112e+47	1.37550e+48	1.17472e+48	3.32251e+18
1.99526e+07	7.77979e+35	5.32608e+21	6.62659e+35	4.89178e+21	8.97139e+46	2.30659e+47	7.69283e+46	2.70957e+47	1.07843e+48	9.23767e+47	2.09636e+18
2.51189e+07	6.12003e+35	2.65960e+21	5.22796e+35	2.44356e+21	6.98713e+46	1.81369e+47	6.01802e+46	2.11623e+47	8.46125e+47	7.32419e+47	1.32272e+18
3.16228e+07	4.78006e+35	1.32218e+21	4.10001e+35	1.21541e+21	5.36901e+46	1.41370e+47	4.63604e+46	1.64787e+47	6.55523e+47	5.61507e+47	8.34577e+17
3.98107e+07	3.69390e+35	6.52113e+20	3.18528e+35	5.99876e+20	4.12089e+46	1.09540e+47	3.54956e+46	1.27084e+47	5.04045e+47	4.42346e+47	5.26583e+17
5.01187e+07	2.81400e+35	3.17755e+20	2.44205e+35	2.92552e+20	3.28077e+46	8.10912e+46	2.40974e+46	9.82422e+46	3.75174e+47	2.94299e+47	3.32251e+17
6.30957e+07	2.10680e+35	1.52356e+20	1.84124e+35	1.40404e+20	2.42916e+46	6.10722e+46	1.83263e+46	7.38405e+46	2.83743e+47	2.46086e+47	2.09636e+17
7.94328e+07	1.54722e+35	7.16714e+19	1.36203e+35	6.61124e+19	1.63801e+46	4.81826e+46	1.65926e+46	5.31687e+46	2.36001e+47	2.09072e+47	1.32271e+17
1.00000e+08	1.11393e+35	3.30306e+19	9.87538e+34	3.04966e+19	1.22348e+46	3.53179e+46	1.13565e+46	4.07928e+46	1.37475e+47	1.44050e+47	8.34576e+16
1.25893e+08	7.86671e+34	1.49132e+19	7.01983e+34	1.37807e+19	8.79701e+45	2.51779e+46	8.11002e+45	2.89441e+46	9.85512e+46	1.03459e+47	5.26581e+16
1.58489e+08	5.45721e+34	6.60384e+18	4.89827e+34	6.10681e+18	6.23861e+45	1.78013e+46	5.79714e+45	1.72804e+46	6.99353e+46	7.35840e+46	3.32251e+16
1.99526e+08	3.72571e+34	2.87326e+18	3.36118e+34	2.65869e+18	3.05912e+45	1.06542e+46	2.77370e+45	9.82957e+45	3.63642e+46	3.80992e+46	2.09636e+16
2.51189e+08	2.50845e+34	1.23094e+18	2.27286e+34	1.13962e+18	2.36916e+45	7.87518e+45	2.18470e+45	7.07587e+45	2.72736e+46	2.87246e+46	1.32271e+16
3.16228e+08	1.66899e+34	5.20393e+17	1.51775e+34	4.81998e+17	1.07645e+45	4.40543e+45	9.60908e+44	3.69258e+45	1.43794e+46	1.49118e+46	8.34573e+15
3.98107e+08	1.09946e+34	2.17553e+17	1.00285e+34	2.01575e+17	4.00764e+44	2.63620e+45	3.79754e+44	1.52958e+45	1.06124e+46	1.17439e+46	5.26577e+15
5.01187e+08	7.18325e+33	9.01062e+16	6.56831e+33	8.35129e+16	3.40877e+45	5.51439e+45	3.34603e+45	4.76064e+45	3.48101e+46	3.55811e+46	3.32247e+15
6.30957e+08	4.66144e+33	3.70352e+16	4.27099e+33	3.43335e+16	-1.95551e+45	-1.87911e+45	-1.94465e+45	-2.34956e+45	-1.42943e+46	-1.40568e+46	2.09631e+15
7.94328e+08	3.00828e+33	1.51271e+16	2.76082e+33	1.40263e+16	3.57941e+44	7.99017e+44	3.97836e+44	4.88262e+44	5.16047e+45	5.88207e+45	1.32268e+15
1.00000e+09	1.93273e+33	6.14735e+15	1.77609e+33	5.70088e+15	1.15148e+45	1.51473e+45	1.06553e+45	1.31148e+45	1.15278e+46	1.11340e+46	8.34551e+14
