mDM_(MeV)	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	const
1.00000e+04	1.95827e+39	6.39664e+31	1.70094e+39	5.95249e+31	2.29106e+50	5.93490e+50	1.99288e+50	6.82943e+50	2.74052e+51	2.38271e+51	4.06266e+24
1.25893e+04	1.55571e+39	3.20674e+31	1.35130e+39	2.98411e+31	1.81994e+50	4.71478e+50	1.58308e+50	5.42537e+50	2.17704e+51	1.89281e+51	2.56336e+24
1.58489e+04	1.23587e+39	1.60751e+31	1.07350e+39	1.49591e+31	1.44569e+50	3.74542e+50	1.25754e+50	4.30987e+50	1.72939e+51	1.50361e+51	1.61737e+24
1.99526e+04	9.81766e+38	8.05793e+30	8.52788e+38	7.49858e+30	1.14839e+50	2.97530e+50	9.98928e+49	3.42367e+50	1.37377e+51	1.19442e+51	1.02049e+24
2.51189e+04	7.79896e+38	4.03905e+30	6.77442e+38	3.75869e+30	9.12217e+49	2.36350e+50	7.93496e+49	2.71966e+50	1.09126e+51	9.48798e+50	6.43888e+23
3.16228e+04	6.19525e+38	2.02453e+30	5.38142e+38	1.88401e+30	7.24614e+49	1.87748e+50	6.30309e+49	2.16039e+50	8.66847e+50	7.53681e+50	4.06266e+23
3.98107e+04	4.92126e+38	1.01475e+30	4.27481e+38	9.44321e+29	5.75590e+49	1.49139e+50	5.00680e+49	1.71612e+50	6.88577e+50	5.98685e+50	2.56336e+23
5.01187e+04	3.90923e+38	5.08613e+29	3.39572e+38	4.73313e+29	4.57213e+49	1.18468e+50	3.97709e+49	1.36319e+50	5.46967e+50	4.75562e+50	1.61737e+23
6.30957e+04	3.10529e+38	2.54924e+29	2.69739e+38	2.37231e+29	3.63181e+49	9.41049e+49	3.15915e+49	1.08285e+50	4.34478e+50	3.77759e+50	1.02049e+23
7.94328e+04	2.46667e+38	1.27770e+29	2.14266e+38	1.18902e+29	2.88487e+49	7.47515e+49	2.50942e+49	8.60149e+49	3.45122e+50	3.00068e+50	6.43888e+22
1.00000e+05	1.95938e+38	6.40386e+28	1.70201e+38	5.95943e+28	2.29155e+49	5.93780e+49	1.99332e+49	6.83249e+49	2.74143e+50	2.38355e+50	4.06266e+22
1.25893e+05	1.55641e+38	3.20962e+28	1.35197e+38	2.98687e+28	1.82025e+49	4.71662e+49	1.58335e+49	5.42730e+49	2.17761e+50	1.89334e+50	2.56336e+22
1.58489e+05	1.23631e+38	1.60865e+28	1.07392e+38	1.49701e+28	1.44588e+49	3.74658e+49	1.25771e+49	4.31109e+49	1.72975e+50	1.50394e+50	1.61737e+22
1.99526e+05	9.82046e+37	8.06248e+27	8.53055e+37	7.50296e+27	1.14851e+49	2.97603e+49	9.99036e+48	3.42444e+49	1.37399e+50	1.19463e+50	1.02049e+22
2.51189e+05	7.80072e+37	4.04087e+27	6.77611e+37	3.76044e+27	9.12295e+48	2.36396e+49	7.93564e+48	2.72015e+49	1.09141e+50	9.48931e+49	6.43888e+21
3.16228e+05	6.19636e+37	2.02525e+27	5.38248e+37	1.88470e+27	7.24662e+48	1.87777e+49	6.30351e+48	2.16070e+49	8.66937e+49	7.53765e+49	4.06266e+21
3.98107e+05	4.92197e+37	1.01504e+27	4.27548e+37	9.44597e+26	5.75619e+48	1.49157e+49	5.00710e+48	1.71631e+49	6.88635e+49	5.98740e+49	2.56336e+21
5.01187e+05	3.90967e+37	5.08728e+26	3.39615e+37	4.73423e+26	4.57232e+48	1.18480e+49	3.97729e+48	1.36332e+49	5.47004e+49	4.75598e+49	1.61737e+21
6.30957e+05	3.10557e+37	2.54969e+26	2.69766e+37	2.37275e+26	3.63194e+48	9.41125e+48	3.15928e+48	1.08292e+49	4.34500e+49	3.77782e+49	1.02049e+21
7.94328e+05	2.46685e+37	1.27788e+26	2.14283e+37	1.18920e+26	2.88494e+48	7.47562e+48	2.50950e+48	8.60202e+48	3.45135e+49	3.00083e+49	6.43888e+20
1.00000e+06	1.95949e+37	6.40458e+25	1.70212e+37	5.96012e+25	2.29158e+48	5.93810e+48	1.99336e+48	6.83283e+48	2.74150e+49	2.38361e+49	4.06266e+20
1.25893e+06	1.55648e+37	3.20990e+25	1.35204e+37	2.98715e+25	1.82031e+48	4.71674e+48	1.58334e+48	5.42752e+48	2.17766e+49	1.89334e+49	2.56336e+20
1.58489e+06	1.23636e+37	1.60877e+25	1.07397e+37	1.49712e+25	1.44595e+48	3.74666e+48	1.25772e+48	4.31127e+48	1.72988e+49	1.50395e+49	1.61737e+20
1.99526e+06	9.82072e+36	8.06294e+24	8.53082e+36	7.50340e+24	1.14855e+48	2.97607e+48	9.98998e+47	3.42451e+48	1.37405e+49	1.19462e+49	1.02049e+20
2.51189e+06	7.80085e+36	4.04105e+24	6.77627e+36	3.76061e+24	9.12161e+47	2.36404e+48	7.93665e+47	2.72020e+48	1.09146e+49	9.48975e+48	6.43888e+19
3.16228e+06	6.19638e+36	2.02532e+24	5.38258e+36	1.88477e+24	7.24601e+47	1.87752e+48	6.30085e+47	2.16037e+48	8.66693e+48	7.53561e+48	4.06266e+19
3.98107e+06	4.92185e+36	1.01507e+24	4.27552e+36	9.44625e+23	5.75679e+47	1.49149e+48	5.00632e+47	1.71615e+48	6.88533e+48	5.98791e+48	2.56336e+19
5.01187e+06	3.90936e+36	5.08738e+23	3.39612e+36	4.73434e+23	4.57426e+47	1.18490e+48	3.97668e+47	1.36313e+48	5.47071e+48	4.75422e+48	1.61737e+19
6.30957e+06	3.10497e+36	2.54972e+23	2.69755e+36	2.37278e+23	3.62697e+47	9.41277e+47	3.16207e+47	1.08265e+48	4.34504e+48	3.77919e+48	1.02049e+19
7.94328e+06	2.46581e+36	1.27787e+23	2.14257e+36	1.18920e+23	2.88035e+47	7.47625e+47	2.51072e+47	8.59715e+47	3.44993e+48	3.00167e+48	6.43888e+18
1.00000e+07	1.95777e+36	6.40425e+22	1.70158e+36	5.95995e+22	2.28799e+47	5.93042e+47	1.98789e+47	6.82894e+47	2.73428e+48	2.37786e+48	4.06266e+18
1.25893e+07	1.55368e+36	3.20936e+22	1.35101e+36	2.98680e+22	1.80766e+47	4.71457e+47	1.58395e+47	5.41891e+47	2.17490e+48	1.89788e+48	2.56336e+18
1.58489e+07	1.23190e+36	1.60799e+22	1.07206e+36	1.49657e+22	1.43212e+47	3.74038e+47	1.25469e+47	4.29590e+47	1.72353e+48	1.50615e+48	1.61737e+18
1.99526e+07	9.75115e+35	8.05238e+21	8.49717e+35	7.49532e+21	1.12961e+47	2.96259e+47	9.91308e+46	3.39886e+47	1.35560e+48	1.18771e+48	1.02049e+18
2.51189e+07	7.69479e+35	4.02727e+21	6.71923e+35	3.74948e+21	8.84769e+46	2.33496e+47	7.79408e+46	2.66717e+47	1.06794e+48	9.44269e+47	6.43887e+17
3.16228e+07	6.04010e+35	2.00844e+21	5.29064e+35	1.87055e+21	6.85263e+46	1.83026e+47	6.04163e+46	2.08728e+47	8.32424e+47	7.28780e+47	4.06265e+17
3.98107e+07	4.70179e+35	9.96050e+20	4.13599e+35	9.28144e+20	5.30284e+46	1.42790e+47	4.66336e+46	1.62210e+47	6.45302e+47	5.76994e+47	2.56336e+17
5.01187e+07	3.61644e+35	4.89357e+20	3.19852e+35	4.56298e+20	4.23490e+46	1.07076e+47	3.25705e+46	1.26309e+47	4.89104e+47	3.98366e+47	1.61737e+17
6.30957e+07	2.73886e+35	2.37166e+20	2.43773e+35	2.21316e+20	3.17942e+46	8.13081e+46	2.49147e+46	9.60566e+46	3.72780e+47	3.31162e+47	1.02049e+17
7.94328e+07	2.03686e+35	1.12967e+20	1.82533e+35	1.05504e+20	2.18330e+46	6.43411e+46	2.20646e+46	7.00105e+46	3.05494e+47	2.74829e+47	6.43886e+16
1.00000e+08	1.48536e+35	5.27545e+19	1.34031e+35	4.93102e+19	1.63527e+46	4.80029e+46	1.53748e+46	5.43940e+46	1.88702e+47	1.95658e+47	4.06263e+16
1.25893e+08	1.06198e+35	2.41316e+19	9.64618e+34	2.25735e+19	1.18713e+46	3.45466e+46	1.12234e+46	3.90118e+46	1.37345e+47	1.41809e+47	2.56334e+16
1.58489e+08	7.45094e+34	1.08174e+19	6.80890e+34	1.01260e+19	8.46411e+45	2.42498e+46	7.91321e+45	2.36364e+46	9.51798e+46	9.90207e+46	1.61735e+16
1.99526e+08	5.13834e+34	4.75866e+18	4.72080e+34	4.45719e+18	4.41611e+45	1.55965e+46	4.14576e+45	1.45939e+46	5.13679e+46	5.40653e+46	1.02048e+16
2.51189e+08	3.48988e+34	2.05838e+18	3.22117e+34	1.92897e+18	3.28016e+45	1.11638e+46	3.01720e+45	1.03429e+46	3.78316e+46	4.00560e+46	6.43875e+15
