mDM_(MeV)	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	const
1.00000e+04	2.72913e+39	1.71044e+32	2.52427e+39	1.64452e+32	3.07549e+50	8.68822e+50	2.83811e+50	9.40039e+50	3.72537e+51	3.44051e+51	3.82802e+21
1.25893e+04	2.16822e+39	8.57551e+31	2.00548e+39	8.24509e+31	2.44311e+50	6.90233e+50	2.25453e+50	7.46805e+50	2.95947e+51	2.73319e+51	2.41532e+21
1.58489e+04	1.72252e+39	4.29914e+31	1.59325e+39	4.13351e+31	1.94072e+50	5.48336e+50	1.79093e+50	5.93275e+50	2.35098e+51	2.17123e+51	1.52396e+21
1.99526e+04	1.36840e+39	2.15515e+31	1.26572e+39	2.07213e+31	1.54163e+50	4.35600e+50	1.42264e+50	4.71297e+50	1.86757e+51	1.72479e+51	9.61556e+20
2.51189e+04	1.08706e+39	1.08033e+31	1.00549e+39	1.03871e+31	1.22460e+50	3.46035e+50	1.13008e+50	3.74391e+50	1.48354e+51	1.37012e+51	6.06699e+20
3.16228e+04	8.63543e+38	5.41521e+30	7.98749e+38	5.20664e+30	9.72760e+49	2.74882e+50	8.97679e+49	2.97406e+50	1.17847e+51	1.08837e+51	3.82801e+20
3.98107e+04	6.85976e+38	2.71434e+30	6.34507e+38	2.60980e+30	7.72706e+49	2.18357e+50	7.13066e+49	2.36249e+50	9.36121e+50	8.64553e+50	2.41531e+20
5.01187e+04	5.44915e+38	1.36051e+30	5.04031e+38	1.30812e+30	6.13792e+49	1.73453e+50	5.66418e+49	1.87666e+50	7.43607e+50	6.86757e+50	1.52397e+20
6.30957e+04	4.32857e+38	6.81919e+29	4.00381e+38	6.55658e+29	4.87559e+49	1.37783e+50	4.49927e+49	1.49072e+50	5.90680e+50	5.45522e+50	9.61557e+19
7.94328e+04	3.43840e+38	3.41788e+29	3.18044e+38	3.28626e+29	3.87285e+49	1.09447e+50	3.57393e+49	1.18415e+50	4.69201e+50	4.33331e+50	6.06700e+19
1.00000e+05	2.73128e+38	1.71307e+29	2.52637e+38	1.64711e+29	3.07634e+49	8.69388e+49	2.83890e+49	9.40621e+49	3.72705e+50	3.44212e+50	3.82802e+19
1.25893e+05	2.16957e+38	8.58601e+28	2.00681e+38	8.25538e+28	2.44364e+49	6.90590e+49	2.25503e+49	7.47172e+49	2.96053e+50	2.73420e+50	2.41530e+19
1.58489e+05	1.72338e+38	4.30332e+28	1.59409e+38	4.13761e+28	1.94106e+49	5.48562e+49	1.79125e+49	5.93507e+49	2.35165e+50	2.17187e+50	1.52395e+19
1.99526e+05	1.36894e+38	2.15682e+28	1.26624e+38	2.07376e+28	1.54185e+49	4.35742e+49	1.42284e+49	4.71443e+49	1.86799e+50	1.72519e+50	9.61556e+18
2.51189e+05	1.08740e+38	1.08099e+28	1.00582e+38	1.03936e+28	1.22474e+49	3.46125e+49	1.13021e+49	3.74483e+49	1.48381e+50	1.37037e+50	6.06699e+18
3.16228e+05	8.63758e+37	5.41785e+27	7.98960e+37	5.20923e+27	9.72844e+48	2.74938e+49	8.97757e+48	2.97464e+49	1.17864e+50	1.08853e+50	3.82798e+18
3.98107e+05	6.86111e+37	2.71539e+27	6.34640e+37	2.61083e+27	7.72759e+48	2.18393e+49	7.13118e+48	2.36285e+49	9.36228e+49	8.64656e+49	2.41524e+18
5.01187e+05	5.45000e+37	1.36093e+27	5.04115e+37	1.30853e+27	6.13826e+48	1.73476e+49	5.66451e+48	1.87689e+49	7.43674e+49	6.86823e+49	1.52393e+18
6.30957e+05	4.32911e+37	6.82086e+26	4.00434e+37	6.55821e+26	4.87581e+48	1.37797e+49	4.49949e+48	1.49087e+49	5.90721e+49	5.45565e+49	9.61528e+17
7.94328e+05	3.43874e+37	3.41855e+26	3.18077e+37	3.28691e+26	3.87299e+48	1.09457e+49	3.57407e+48	1.18425e+49	4.69227e+49	4.33357e+49	6.06671e+17
1.00000e+06	2.73150e+37	1.71334e+26	2.52658e+37	1.64736e+26	3.07642e+48	8.69446e+48	2.83898e+48	9.40682e+48	3.72720e+49	3.44225e+49	3.82781e+17
1.25893e+06	2.16971e+37	8.58707e+25	2.00694e+37	8.25641e+25	2.44372e+48	6.90621e+48	2.25505e+48	7.47212e+48	2.96063e+49	2.73426e+49	2.41519e+17
1.58489e+06	1.72346e+37	4.30374e+25	1.59417e+37	4.13802e+25	1.94114e+48	5.48582e+48	1.79127e+48	5.93534e+48	2.35179e+49	2.17192e+49	1.52388e+17
1.99526e+06	1.36900e+37	2.15698e+25	1.26630e+37	2.07393e+25	1.54189e+48	4.35753e+48	1.42282e+48	4.71458e+48	1.86807e+49	1.72521e+49	9.61471e+16
2.51189e+06	1.08743e+37	1.08105e+25	1.00586e+37	1.03943e+25	1.22464e+48	3.46137e+48	1.13030e+48	3.74495e+48	1.48388e+49	1.37043e+49	6.06604e+16
