mDM_(MeV)	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	const
1.00000e+04	1.03795e+39	1.95598e+31	8.31613e+38	1.73882e+31	1.20912e+50	2.89732e+50	9.70014e+49	3.61462e+50	1.44839e+51	1.16147e+51	2.82724e+25
1.25893e+04	8.24557e+38	9.80505e+30	6.60649e+38	8.71659e+30	9.60472e+49	2.30163e+50	7.70540e+49	2.87142e+50	1.15057e+51	9.22649e+50	1.78387e+25
1.58489e+04	6.55020e+38	4.91494e+30	5.24820e+38	4.36937e+30	7.62954e+49	1.82838e+50	6.12082e+49	2.28099e+50	9.13971e+50	7.32924e+50	1.12554e+25
1.99526e+04	5.20333e+38	2.46361e+30	4.16909e+38	2.19016e+30	6.06051e+49	1.45241e+50	4.86206e+49	1.81195e+50	7.26020e+50	5.82206e+50	7.10170e+24
2.51189e+04	4.13336e+38	1.23486e+30	3.31182e+38	1.09780e+30	4.81413e+49	1.15374e+50	3.86215e+49	1.43934e+50	5.76715e+50	4.62478e+50	4.48087e+24
3.16228e+04	3.28337e+38	6.18943e+29	2.63079e+38	5.50247e+29	3.82406e+49	9.16484e+49	3.06786e+49	1.14334e+50	4.58112e+50	3.67369e+50	2.82724e+24
3.98107e+04	2.60815e+38	3.10226e+29	2.08978e+38	2.75795e+29	3.03759e+49	7.28009e+49	2.43692e+49	9.08211e+49	3.63898e+50	2.91817e+50	1.78387e+24
5.01187e+04	2.07178e+38	1.55489e+29	1.66002e+38	1.38232e+29	2.41287e+49	5.78291e+49	1.93574e+49	7.21432e+49	2.89059e+50	2.31802e+50	1.12554e+24
6.30957e+04	1.64571e+38	7.79321e+28	1.31863e+38	6.92831e+28	1.91663e+49	4.59361e+49	1.53762e+49	5.73063e+49	2.29610e+50	1.84130e+50	7.10170e+23
7.94328e+04	1.30725e+38	3.90598e+28	1.04745e+38	3.47250e+28	1.52244e+49	3.64889e+49	1.22138e+49	4.55206e+49	1.82387e+50	1.46261e+50	4.48087e+23
1.00000e+05	1.03840e+38	1.95768e+28	8.32028e+37	1.74042e+28	1.20932e+49	2.89845e+49	9.70185e+48	3.61586e+49	1.44877e+50	1.16180e+50	2.82724e+23
1.25893e+05	8.24838e+37	9.81182e+27	6.60911e+37	8.72293e+27	9.60603e+48	2.30234e+49	7.70648e+48	2.87220e+49	1.15080e+50	9.22857e+49	1.78387e+23
1.58489e+05	6.55197e+37	4.91764e+27	5.24985e+37	4.37189e+27	7.63036e+48	1.82883e+49	6.12150e+48	2.28149e+49	9.14119e+49	7.33055e+49	1.12554e+23
1.99526e+05	5.20445e+37	2.46469e+27	4.17013e+37	2.19117e+27	6.06104e+48	1.45270e+49	4.86248e+48	1.81226e+49	7.26113e+49	5.82288e+49	7.10170e+22
2.51189e+05	4.13406e+37	1.23528e+27	3.31247e+37	1.09820e+27	4.81446e+48	1.15392e+49	3.86241e+48	1.43953e+49	5.76774e+49	4.62529e+49	4.48087e+22
3.16228e+05	3.28381e+37	6.19113e+26	2.63120e+37	5.50406e+26	3.82426e+48	9.16595e+48	3.06802e+48	1.14346e+49	4.58149e+49	3.67401e+49	2.82724e+22
3.98107e+05	2.60844e+37	3.10293e+26	2.09005e+37	2.75859e+26	3.03771e+48	7.28083e+48	2.43705e+48	9.08290e+48	3.63922e+49	2.91839e+49	1.78387e+22
