mDM_(MeV)	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	const
1.00000e+04	8.82358e+38	1.44114e+31	6.88509e+38	1.26136e+31	1.02684e+50	2.39786e+50	8.02209e+49	3.07174e+50	1.23045e+51	9.60898e+50	4.38204e+25
1.25893e+04	7.00946e+38	7.22416e+30	5.46961e+38	6.32300e+30	8.15675e+49	1.90485e+50	6.37242e+49	2.44015e+50	9.77435e+50	7.63315e+50	2.76488e+25
1.58489e+04	5.56821e+38	3.62119e+30	4.34504e+38	3.16950e+30	6.47933e+49	1.51318e+50	5.06195e+49	1.93839e+50	7.76438e+50	6.06352e+50	1.74452e+25
1.99526e+04	4.42324e+38	1.81511e+30	3.45162e+38	1.58871e+30	5.14684e+49	1.20202e+50	4.02095e+49	1.53979e+50	6.16768e+50	4.81661e+50	1.10072e+25
2.51189e+04	3.51367e+38	9.09793e+29	2.74187e+38	7.96321e+29	4.08835e+49	9.54842e+49	3.19401e+49	1.22314e+50	4.89930e+50	3.82609e+50	6.94506e+24
3.16228e+04	2.79111e+38	4.56010e+29	2.17804e+38	3.99137e+29	3.24754e+49	7.58483e+49	2.53713e+49	9.71606e+49	3.89174e+50	3.03925e+50	4.38204e+24
3.98107e+04	2.21712e+38	2.28560e+29	1.73013e+38	2.00055e+29	2.57965e+49	6.02501e+49	2.01534e+49	7.71792e+49	3.09137e+50	2.41421e+50	2.76488e+24
5.01187e+04	1.76116e+38	1.14557e+29	1.37433e+38	1.00270e+29	2.04910e+49	4.78593e+49	1.60086e+49	6.13068e+49	2.45560e+50	1.91770e+50	1.74452e+24
6.30957e+04	1.39897e+38	5.74165e+28	1.09169e+38	5.02560e+28	1.62767e+49	3.80167e+49	1.27162e+49	4.86984e+49	1.95057e+50	1.52330e+50	1.10072e+24
7.94328e+04	1.11125e+38	2.87773e+28	8.67178e+37	2.51884e+28	1.29291e+49	3.01981e+49	1.01009e+49	3.86830e+49	1.54941e+50	1.21001e+50	6.94506e+23
1.00000e+05	8.82710e+37	1.44231e+28	6.88833e+37	1.26244e+28	1.02700e+49	2.39875e+49	8.02344e+48	3.07273e+49	1.23075e+50	9.61156e+49	4.38204e+23
1.25893e+05	7.01168e+37	7.22882e+27	5.47166e+37	6.32733e+27	8.15781e+48	1.90541e+49	6.37326e+48	2.44077e+49	9.77622e+49	7.63478e+49	2.76488e+23
1.58489e+05	5.56962e+37	3.62305e+27	4.34633e+37	3.17123e+27	6.47999e+48	1.51353e+49	5.06248e+48	1.93878e+49	7.76557e+49	6.06455e+49	1.74452e+23
1.99526e+05	4.42413e+37	1.81585e+27	3.45244e+37	1.58940e+27	5.14726e+48	1.20225e+49	4.02128e+48	1.54004e+49	6.16843e+49	4.81726e+49	1.10072e+23
2.51189e+05	3.51423e+37	9.10087e+26	2.74238e+37	7.96594e+26	4.08862e+48	9.54982e+48	3.19422e+48	1.22330e+49	4.89977e+49	3.82650e+49	6.94506e+22
3.16228e+05	2.79146e+37	4.56128e+26	2.17836e+37	3.99246e+26	3.24770e+48	7.58570e+48	2.53726e+48	9.71704e+48	3.89204e+49	3.03950e+49	4.38204e+22
3.98107e+05	2.21734e+37	2.28607e+26	1.73034e+37	2.00098e+26	2.57974e+48	6.02558e+48	2.01544e+48	7.71854e+48	3.09157e+49	2.41438e+49	2.76488e+22
5.01187e+05	1.76130e+37	1.14575e+26	1.37446e+37	1.00287e+26	2.04917e+48	4.78631e+48	1.60093e+48	6.13107e+48	2.45573e+49	1.91782e+49	1.74452e+22
6.30957e+05	1.39905e+37	5.74239e+25	1.09178e+37	5.02629e+25	1.62772e+48	3.80191e+48	1.27167e+48	4.87010e+48	1.95064e+49	1.52339e+49	1.10072e+22
7.94328e+05	1.11131e+37	2.87802e+25	8.67230e+36	2.51912e+25	1.29294e+48	3.01996e+48	1.01011e+48	3.86848e+48	1.54944e+49	1.21006e+49	6.94506e+21
1.00000e+06	8.82744e+36	1.44243e+25	6.88866e+36	1.26255e+25	1.02701e+48	2.39884e+48	8.02360e+47	3.07284e+48	1.23076e+49	9.61160e+48	4.38204e+21
1.25893e+06	7.01188e+36	7.22929e+24	5.47186e+36	6.32777e+24	8.15813e+47	1.90541e+48	6.37302e+47	2.44085e+48	9.77632e+48	7.63452e+48	2.76488e+21
1.58489e+06	5.56970e+36	3.62323e+24	4.34645e+36	3.17140e+24	6.48035e+47	1.51354e+48	5.06245e+47	1.93884e+48	7.76624e+48	6.06449e+48	1.74452e+21
1.99526e+06	4.42408e+36	1.81592e+24	3.45251e+36	1.58947e+24	5.14729e+47	1.20224e+48	4.02092e+47	1.54001e+48	6.16854e+48	4.81709e+48	1.10072e+21
2.51189e+06	3.51401e+36	9.10115e+23	2.74240e+36	7.96621e+23	4.08720e+47	9.55012e+47	3.19489e+47	1.22323e+48	4.89967e+48	3.82665e+48	6.94506e+20
3.16228e+06	2.79097e+36	4.56136e+23	2.17832e+36	3.99256e+23	3.24646e+47	7.58334e+47	2.53494e+47	9.71261e+47	3.88930e+48	3.03777e+48	4.38204e+20
3.98107e+06	2.21642e+36	2.28606e+23	1.73019e+36	2.00101e+23	2.57884e+47	6.02406e+47	2.01428e+47	7.71405e+47	3.08920e+48	2.41432e+48	2.76488e+20
5.01187e+06	1.75971e+36	1.14570e+23	1.37413e+36	1.00286e+23	2.04817e+47	4.78530e+47	1.59940e+47	6.12434e+47	2.45366e+48	1.91556e+48	1.74452e+20
6.30957e+06	1.39647e+36	5.74146e+22	1.09112e+36	5.02586e+22	1.62032e+47	3.80018e+47	1.27191e+47	4.85970e+47	1.94672e+48	1.52292e+48	1.10072e+20
7.94328e+06	1.10733e+36	2.87682e+22	8.66038e+35	2.51848e+22	1.28393e+47	3.01559e+47	1.00799e+47	3.85250e+47	1.54260e+48	1.20814e+48	6.94506e+19
1.00000e+07	8.76897e+35	1.44099e+22	6.86854e+35	1.26171e+22	1.01645e+47	2.38500e+47	7.93436e+46	3.05207e+47	1.21710e+48	9.52995e+47	4.38204e+19
