mDM_(MeV)	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	const
1.00000e+04	3.27338e+39	2.01003e+32	3.02627e+39	1.93101e+32	3.63708e+50	1.03642e+51	3.35073e+50	1.12233e+51	4.42691e+51	4.08329e+51	2.08761e+22
1.25893e+04	2.60060e+39	1.00775e+32	2.40430e+39	9.68136e+31	2.88922e+50	8.23383e+50	2.66175e+50	8.91623e+50	3.51678e+51	3.24382e+51	1.31719e+22
1.58489e+04	2.06602e+39	5.05210e+31	1.91009e+39	4.85353e+31	2.29510e+50	6.54113e+50	2.11441e+50	7.08321e+50	2.79370e+51	2.57687e+51	8.31091e+21
1.99526e+04	1.64129e+39	2.53260e+31	1.51742e+39	2.43307e+31	1.82314e+50	5.19629e+50	1.67960e+50	5.62689e+50	2.21926e+51	2.04702e+51	5.24383e+21
2.51189e+04	1.30384e+39	1.26953e+31	1.20544e+39	1.21964e+31	1.44821e+50	4.12787e+50	1.33420e+50	4.46991e+50	1.76291e+51	1.62609e+51	3.30863e+21
3.16228e+04	1.03575e+39	6.36358e+30	9.57589e+38	6.11353e+30	1.15039e+50	3.27908e+50	1.05982e+50	3.55078e+50	1.40039e+51	1.29171e+51	2.08760e+21
3.98107e+04	8.22770e+38	3.18969e+30	7.60686e+38	3.06437e+30	9.13802e+49	2.60479e+50	8.41861e+49	2.82061e+50	1.11240e+51	1.02607e+51	1.31719e+21
5.01187e+04	6.53578e+38	1.59877e+30	6.04263e+38	1.53596e+30	7.25870e+49	2.06913e+50	6.68725e+49	2.24057e+50	8.83636e+50	8.15061e+50	8.31091e+20
6.30957e+04	5.19174e+38	8.01340e+29	4.80001e+38	7.69856e+29	5.76587e+49	1.64362e+50	5.31194e+49	1.77980e+50	7.01911e+50	6.47440e+50	5.24383e+20
7.94328e+04	4.12406e+38	4.01643e+29	3.81290e+38	3.85864e+29	4.58004e+49	1.30560e+50	4.21946e+49	1.41377e+50	5.57557e+50	5.14288e+50	3.30863e+20
1.00000e+05	3.27593e+38	2.01307e+29	3.02876e+38	1.93399e+29	3.63808e+49	1.03710e+50	3.35167e+49	1.12302e+50	4.42889e+50	4.08519e+50	2.08760e+20
1.25893e+05	2.60221e+38	1.00896e+29	2.40588e+38	9.69323e+28	2.88985e+49	8.23807e+49	2.66234e+49	8.92060e+49	3.51803e+50	3.24502e+50	1.31719e+20
1.58489e+05	2.06704e+38	5.05692e+28	1.91109e+38	4.85826e+28	2.29550e+49	6.54381e+49	2.11478e+49	7.08596e+49	2.79449e+50	2.57763e+50	8.31090e+19
1.99526e+05	1.64193e+38	2.53452e+28	1.51805e+38	2.43495e+28	1.82339e+49	5.19798e+49	1.67984e+49	5.62863e+49	2.21976e+50	2.04750e+50	5.24382e+19
2.51189e+05	1.30424e+38	1.27029e+28	1.20584e+38	1.22039e+28	1.44837e+49	4.12893e+49	1.33435e+49	4.47101e+49	1.76323e+50	1.62639e+50	3.30863e+19
3.16228e+05	1.03600e+38	6.36663e+27	9.57839e+37	6.11651e+27	1.15049e+49	3.27975e+49	1.05991e+49	3.55147e+49	1.40059e+50	1.29190e+50	2.08760e+19
3.98107e+05	8.22931e+37	3.19091e+27	7.60843e+37	3.06555e+27	9.13864e+48	2.60521e+49	8.41922e+48	2.82105e+49	1.11253e+50	1.02620e+50	1.31719e+19
5.01187e+05	6.53680e+37	1.59926e+27	6.04362e+37	1.53643e+27	7.25910e+48	2.06940e+49	6.68764e+48	2.24084e+49	8.83716e+49	8.15139e+49	8.31087e+18
6.30957e+05	5.19238e+37	8.01532e+26	4.80064e+37	7.70044e+26	5.76613e+48	1.64379e+49	5.31220e+48	1.77997e+49	7.01961e+49	6.47490e+49	5.24380e+18
