mDM_(MeV)	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	const
1.00000e+04	7.24512e+38	9.93512e+30	5.45491e+38	8.51073e+30	8.42187e+49	1.89894e+50	6.34742e+49	2.52128e+50	1.00957e+51	7.60634e+50	7.23127e+25
1.25893e+04	5.75549e+38	4.98021e+30	4.33343e+38	4.26625e+30	6.68997e+49	1.50850e+50	5.04212e+49	2.00286e+50	8.01969e+50	6.04228e+50	4.56262e+25
1.58489e+04	4.57205e+38	2.49636e+30	3.44244e+38	2.13850e+30	5.31418e+49	1.19832e+50	4.00521e+49	1.59101e+50	6.37053e+50	4.79977e+50	2.87882e+25
1.99526e+04	3.63190e+38	1.25128e+30	2.73460e+38	1.07191e+30	4.22129e+49	9.51909e+49	3.18153e+49	1.26384e+50	5.06045e+50	3.81273e+50	1.81641e+25
2.51189e+04	2.88504e+38	6.27178e+29	2.17228e+38	5.37279e+29	3.35315e+49	7.56158e+49	2.52722e+49	1.00394e+50	4.01976e+50	3.02865e+50	1.14608e+25
3.16228e+04	2.29175e+38	3.14355e+29	1.72557e+38	2.69297e+29	2.66354e+49	6.00656e+49	2.00747e+49	7.97477e+49	3.19308e+50	2.40580e+50	7.23127e+24
3.98107e+04	1.82045e+38	1.57559e+29	1.37071e+38	1.34976e+29	2.11575e+49	4.77130e+49	1.59461e+49	6.33472e+49	2.53639e+50	1.91103e+50	4.56263e+24
5.01187e+04	1.44606e+38	7.89701e+28	1.08882e+38	6.76513e+28	1.68061e+49	3.79006e+49	1.26666e+49	5.03193e+49	2.01475e+50	1.51800e+50	2.87882e+24
6.30957e+04	1.14867e+38	3.95802e+28	8.64901e+37	3.39072e+28	1.33497e+49	3.01060e+49	1.00615e+49	3.99706e+49	1.60039e+50	1.20581e+50	1.81641e+24
7.94328e+04	9.12431e+37	1.98376e+28	6.87026e+37	1.69944e+28	1.06041e+49	2.39143e+49	7.99216e+48	3.17501e+49	1.27125e+50	9.57816e+49	1.14608e+24
1.00000e+05	7.24777e+37	9.94257e+27	5.45731e+37	8.51755e+27	8.42317e+48	1.89960e+49	6.34843e+48	2.52202e+49	1.00979e+50	7.60826e+49	7.23128e+23
