mDM_(MeV)	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10
1.00000e-02	3.12662e+32	2.32853e+29	9.42493e+25	9.76629e+22	3.51045e+44	3.12974e+44	3.17829e+44	4.22130e+44	2.93957e+45	2.50425e+45
1.58489e-02	8.17346e+32	6.03185e+29	5.77268e+26	6.41288e+23	9.09072e+44	8.18623e+44	8.08978e+44	1.10681e+45	7.66287e+45	6.47705e+45
2.51189e-02	2.13608e+33	1.58282e+30	3.80398e+27	4.24040e+24	2.35520e+45	2.14671e+45	2.12598e+45	2.87832e+45	1.97955e+46	1.69935e+46
3.98107e-02	5.72502e+33	4.17713e+30	2.55106e+28	2.77400e+25	6.25347e+45	5.58958e+45	5.64761e+45	7.60029e+45	5.17232e+46	4.47186e+46
6.30957e-02	1.48354e+34	1.12561e+31	1.70172e+29	2.04656e+26	1.66599e+46	1.50302e+46	1.50023e+46	2.05230e+46	1.40916e+47	1.18714e+47
1.00000e-01	3.96051e+34	2.98941e+31	1.15189e+30	1.25030e+27	4.45697e+46	4.00927e+46	4.02394e+46	5.38934e+46	3.74798e+47	3.20754e+47
1.58489e-01	1.04184e+35	7.91648e+31	7.52553e+30	8.59102e+27	1.20117e+47	1.08701e+47	1.07913e+47	1.44989e+47	1.01077e+48	8.69638e+47
2.51189e-01	2.71978e+35	2.03757e+32	5.01242e+31	5.59501e+28	3.10503e+47	2.77182e+47	2.82049e+47	3.78929e+47	2.61293e+48	2.21748e+48
3.98107e-01	6.98967e+35	5.40880e+32	3.21699e+32	3.52624e+29	7.94020e+47	7.11428e+47	7.17364e+47	9.59721e+47	6.99640e+48	5.71660e+48
6.30957e-01	1.75476e+36	1.31160e+33	2.09120e+33	2.26546e+30	2.00108e+48	1.80807e+48	1.79989e+48	2.42920e+48	1.69032e+49	1.44121e+49
1.00000e+00	4.32974e+36	3.31568e+33	1.23983e+34	1.44827e+31	4.95051e+48	4.47750e+48	4.46397e+48	5.86703e+48	4.10332e+49	3.58054e+49
1.58489e+00	1.05427e+37	7.85812e+33	7.61707e+34	8.51241e+31	1.20156e+49	1.07251e+49	1.07970e+49	1.43293e+49	9.99245e+49	8.58969e+49
2.51189e+00	2.52756e+37	1.91905e+34	4.59629e+35	4.93103e+32	2.81171e+49	2.56298e+49	2.56248e+49	3.43411e+49	2.34245e+50	2.01717e+50
3.98107e+00	6.09536e+37	4.64498e+34	2.66553e+36	2.94132e+33	6.55615e+49	5.92230e+49	5.87630e+49	8.05092e+49	5.56520e+50	4.68064e+50
6.30957e+00	1.53835e+38	1.21463e+35	1.56072e+37	1.74421e+34	1.53701e+50	1.42532e+50	1.38408e+50	1.89216e+50	1.30965e+51	1.10150e+51
1.00000e+01	4.16649e+38	3.40609e+35	9.22090e+37	9.90296e+34	3.52905e+50	3.40724e+50	3.21849e+50	4.52595e+50	3.04627e+51	2.58016e+51
1.58489e+01	1.29753e+39	1.08677e+36	5.19486e+38	5.59449e+35	7.92340e+50	8.27046e+50	7.08174e+50	1.12998e+51	6.88533e+51	5.91008e+51
2.51189e+01	4.03279e+39	3.82726e+36	2.58097e+39	2.76787e+36	1.57675e+51	1.94520e+51	1.37899e+51	2.47579e+51	1.44943e+52	1.23460e+52
3.98107e+01	1.15312e+40	1.07598e+37	9.08436e+39	9.20463e+36	2.42600e+51	4.24397e+51	2.15377e+51	5.14507e+51	2.48944e+52	2.12198e+52
6.30957e+01	1.77093e+40	9.64349e+36	1.48390e+40	8.71466e+36	2.55468e+51	5.67204e+51	2.21029e+51	6.66615e+51	2.85061e+52	2.45784e+52
