mDM_(MeV)	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10
1.00000e-02	3.33084e+32	3.46663e+29	1.34673e+26	2.18361e+23	6.84982e+44	6.32661e+44	6.27965e+44	7.55164e+44	5.49273e+45	5.09695e+45
1.58489e-02	8.74068e+32	9.23266e+29	8.87769e+26	1.40409e+24	1.73313e+45	1.63890e+45	1.61807e+45	1.96648e+45	1.43608e+46	1.32370e+46
2.51189e-02	2.34644e+33	2.44817e+30	5.93020e+27	9.23739e+24	4.58810e+45	4.34163e+45	4.31422e+45	5.21398e+45	3.79441e+46	3.47341e+46
3.98107e-02	6.07595e+33	6.54074e+30	4.05051e+28	6.17761e+25	1.28809e+46	1.17400e+46	1.17997e+46	1.38899e+46	1.00787e+47	9.39233e+46
6.30957e-02	1.61034e+34	1.73342e+31	2.66367e+29	4.18935e+26	3.31470e+46	3.11365e+46	3.16231e+46	3.72717e+46	2.74739e+47	2.53264e+47
1.00000e-01	4.40665e+34	4.68704e+31	1.81202e+30	2.95422e+27	8.94906e+46	8.61596e+46	8.52683e+46	1.00458e+47	7.39559e+47	6.78320e+47
1.58489e-01	1.15643e+35	1.23581e+32	1.18400e+31	1.93162e+28	2.38048e+47	2.21986e+47	2.23404e+47	2.62403e+47	1.96850e+48	1.79395e+48
2.51189e-01	3.02577e+35	3.31164e+32	7.85297e+31	1.27339e+29	6.26331e+47	5.83245e+47	5.99542e+47	7.17800e+47	5.19856e+48	4.66600e+48
3.98107e-01	7.84292e+35	8.48001e+32	5.01370e+32	8.19936e+29	1.58658e+48	1.50863e+48	1.52237e+48	1.76471e+48	1.32079e+49	1.20689e+49
6.30957e-01	1.95086e+36	2.12394e+33	3.18498e+33	5.15435e+30	4.02677e+48	3.71643e+48	3.71618e+48	4.46208e+48	3.28547e+49	3.03583e+49
1.00000e+00	4.77014e+36	5.21159e+33	1.96143e+34	3.07650e+31	9.84276e+48	9.32200e+48	9.68852e+48	1.09762e+49	8.18068e+49	7.75103e+49
1.58489e+00	1.17753e+37	1.26301e+34	1.19202e+35	1.91089e+32	2.42029e+49	2.23574e+49	2.21239e+49	2.68372e+49	1.96919e+50	1.79501e+50
2.51189e+00	2.84334e+37	3.07454e+34	7.18035e+35	1.16906e+33	5.68625e+49	5.37844e+49	5.37118e+49	6.32863e+49	4.61195e+50	4.29616e+50
3.98107e+00	6.84764e+37	7.56873e+34	4.08975e+36	7.00571e+33	1.30027e+50	1.24296e+50	1.23551e+50	1.46901e+50	1.09260e+51	9.85707e+50
6.30957e+00	1.74398e+38	2.00394e+35	2.46902e+37	3.80200e+34	3.04018e+50	2.94731e+50	2.90012e+50	3.43171e+50	2.51610e+51	2.31961e+51
1.00000e+01	4.95230e+38	5.83755e+35	1.40417e+38	2.23081e+35	7.02728e+50	6.93928e+50	6.64075e+50	8.09971e+50	5.81685e+51	5.33109e+51
1.58489e+01	1.62037e+39	2.09160e+36	8.11937e+38	1.27002e+36	1.55808e+51	1.72284e+51	1.47621e+51	1.91510e+51	1.33140e+52	1.20861e+52
2.51189e+01	5.84079e+39	8.33455e+36	4.19129e+39	6.62418e+36	3.27515e+51	3.93492e+51	3.09024e+51	4.56976e+51	2.88009e+52	2.77240e+52
3.98107e+01	1.97074e+40	2.89490e+37	1.67431e+40	2.62881e+37	5.57465e+51	9.11724e+51	5.22710e+51	1.01126e+52	5.42696e+52	4.95375e+52
6.30957e+01	3.99704e+40	4.29981e+37	3.62983e+40	4.01762e+37	6.45918e+51	1.45789e+52	6.02852e+51	1.59434e+52	7.05695e+52	6.57365e+52
1.00000e+02	4.29023e+40	2.14098e+37	3.95373e+40	2.05195e+37	5.52146e+51	1.43991e+52	5.16465e+51	1.55642e+52	6.52418e+52	6.00866e+52
1.58489e+02	3.55686e+40	7.49054e+36	3.30494e+40	7.13113e+36	4.08954e+51	1.16146e+52	3.83593e+51	1.24240e+52	4.96714e+52	4.54556e+52
2.51189e+02	2.62513e+40	2.23004e+36	2.45241e+40	2.16834e+36	2.85923e+51	8.25993e+51	2.66292e+51	8.97548e+51	3.52215e+52	3.27719e+52
3.98107e+02	1.79543e+40	6.26738e+35	1.67113e+40	6.03315e+35	1.90158e+51	5.66114e+51	1.74851e+51	6.06567e+51	2.35163e+52	2.19859e+52
6.30957e+02	1.18549e+40	1.69325e+35	1.10577e+40	1.62326e+35	1.24273e+51	3.75316e+51	1.14817e+51	4.02905e+51	1.55310e+52	1.44874e+52
1.00000e+03	7.83953e+39	4.39258e+34	7.43938e+39	4.29237e+34	8.12264e+50	2.40908e+51	7.45072e+50	2.60386e+51	1.03605e+52	9.35799e+51
1.58489e+03	5.05232e+39	1.13792e+34	4.70776e+39	1.09053e+34	5.26104e+50	1.59622e+51	4.79455e+50	1.69209e+51	6.71578e+51	6.01059e+51
2.51189e+03	3.31772e+39	2.93798e+33	3.01721e+39	2.81269e+33	3.41550e+50	1.01625e+51	3.10211e+50	1.09745e+51	4.30782e+51	3.91286e+51
3.98107e+03	2.28768e+39	7.41383e+32	2.10183e+39	7.10244e+32	2.44448e+50	7.03959e+50	2.16517e+50	7.79149e+50	3.02762e+51	2.66627e+51
6.30957e+03	1.85120e+39	2.12686e+32	1.64952e+39	2.01225e+32	2.03085e+50	5.76746e+50	1.79868e+50	6.47527e+50	2.52637e+51	2.21333e+51
1.00000e+04	1.59908e+39	6.61636e+31	1.43115e+39	6.28754e+31	1.81248e+50	4.84126e+50	1.60656e+50	5.55668e+50	2.22952e+51	1.93489e+51
1.58489e+04	1.18840e+39	1.87631e+31	1.04755e+39	1.78743e+31	1.36287e+50	3.65885e+50	1.20368e+50	4.04230e+50	1.61844e+51	1.45730e+51
2.51189e+04	7.59241e+38	4.80691e+30	6.77617e+38	4.51718e+30	8.77685e+49	2.35280e+50	7.75434e+49	2.65483e+50	1.05384e+51	9.37067e+50
3.98107e+04	4.71538e+38	1.20904e+30	4.31438e+38	1.14253e+30	5.46582e+49	1.47029e+50	4.80612e+49	1.64307e+50	6.63177e+50	5.90688e+50
6.30957e+04	3.12017e+38	3.28978e+29	2.78088e+38	3.11978e+29	3.58155e+49	9.60106e+49	3.24517e+49	1.08031e+50	4.34453e+50	3.88108e+50
9.50935e+04	2.03165e+38	8.94837e+28	1.80400e+38	8.42744e+28	2.34790e+49	6.26495e+49	2.08410e+49	7.05636e+49	2.82001e+50	2.50345e+50
1.50713e+05	1.28192e+38	2.24785e+28	1.13828e+38	2.11699e+28	1.48144e+49	3.95301e+49	1.31499e+49	4.45235e+49	1.77934e+50	1.57960e+50
2.38864e+05	8.08851e+37	5.64653e+27	7.18219e+37	5.31784e+27	9.34732e+48	2.49422e+49	8.29710e+48	2.80928e+49	1.12269e+50	9.96669e+49
3.78574e+05	5.10355e+37	1.41838e+27	4.53171e+37	1.33581e+27	5.89775e+48	1.57376e+49	5.23515e+48	1.77255e+49	7.08376e+49	6.28860e+49
5.99999e+05	3.22012e+37	3.56285e+26	2.85933e+37	3.35545e+26	3.72120e+48	9.92980e+48	3.30315e+48	1.11840e+49	4.46950e+49	3.96786e+49
9.50935e+05	2.03170e+37	8.94953e+25	1.80411e+37	8.42857e+25	2.34775e+48	6.26520e+48	2.08407e+48	7.05639e+48	2.81992e+49	2.50351e+49
1.50713e+06	1.28174e+37	2.24802e+25	1.13827e+37	2.11717e+25	1.48100e+48	3.95279e+48	1.31471e+48	4.45158e+48	1.77897e+49	1.57947e+49
2.38864e+06	8.08204e+36	5.64647e+24	7.17959e+36	5.31789e+24	9.33055e+47	2.49297e+48	8.28687e+47	2.80653e+48	1.12132e+49	9.95931e+48
3.78574e+06	5.08468e+36	1.41759e+24	4.52102e+36	1.33521e+24	5.85298e+47	1.56883e+48	5.19947e+47	1.76454e+48	7.04325e+48	6.26107e+48
