mDM_(MeV)	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10
1.00000e-02	3.07018e+32	2.11890e+29	8.31287e+25	8.18292e+22	3.06244e+44	2.73968e+44	2.73409e+44	3.75420e+44	2.59312e+45	2.19184e+45
1.58489e-02	7.97636e+32	5.50164e+29	5.21343e+26	5.58478e+23	7.98691e+44	7.13814e+44	7.12090e+44	9.80107e+44	6.81999e+45	5.71566e+45
2.51189e-02	2.09294e+33	1.57624e+30	3.49469e+27	3.60183e+24	2.06133e+45	1.82996e+45	1.83253e+45	2.57036e+45	1.75764e+46	1.47421e+46
3.98107e-02	5.54406e+33	3.81016e+30	2.34344e+28	2.35523e+25	5.51010e+45	4.86981e+45	4.81761e+45	6.77553e+45	4.66568e+46	3.91542e+46
6.30957e-02	1.44584e+34	9.88558e+30	1.50911e+29	1.58249e+26	1.45738e+46	1.30181e+46	1.28179e+46	1.85345e+46	1.23909e+47	1.02533e+47
1.00000e-01	3.86144e+34	2.73247e+31	1.05624e+30	1.07745e+27	3.86602e+46	3.49827e+46	3.46970e+46	4.86620e+46	3.31482e+47	2.78949e+47
1.58489e-01	1.01519e+35	7.16128e+31	6.87379e+30	7.00121e+27	1.04091e+47	9.27958e+46	9.34573e+46	1.27678e+47	8.97585e+47	7.44044e+47
2.51189e-01	2.65175e+35	1.85443e+32	4.55370e+31	4.59031e+28	2.77453e+47	2.44592e+47	2.42585e+47	3.37927e+47	2.26665e+48	1.95676e+48
3.98107e-01	6.72118e+35	4.78850e+32	2.90842e+32	3.06577e+29	7.17040e+47	6.24692e+47	6.24736e+47	8.56074e+47	5.85866e+48	4.99757e+48
6.30957e-01	1.71581e+36	1.19142e+33	1.91293e+33	1.94199e+30	1.76560e+48	1.56895e+48	1.55517e+48	2.17324e+48	1.46516e+49	1.26368e+49
1.00000e+00	4.13357e+36	2.98313e+33	1.13007e+34	1.18548e+31	4.27022e+48	3.87545e+48	3.82782e+48	5.30685e+48	3.65747e+49	3.08441e+49
1.58489e+00	1.01991e+37	7.18238e+33	6.83134e+34	7.11819e+31	1.04248e+49	9.39044e+48	9.32633e+48	1.29232e+49	8.90190e+49	7.40766e+49
