mDM_(MeV)	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10
3.78574e+05	3.93734e+36	1.12645e+25	2.05308e+36	7.52379e+24	4.53993e+47	7.11719e+47	2.35761e+47	1.36635e+48	5.45108e+48	2.83857e+48
5.99999e+05	2.46917e+36	2.82586e+24	1.29215e+36	1.88850e+24	2.83944e+47	4.47630e+47	1.47725e+47	8.56147e+47	3.40916e+48	1.78310e+48
9.50935e+05	1.52650e+36	7.04495e+23	8.05553e+35	4.71761e+23	1.73983e+47	2.78327e+47	9.07399e+46	5.28073e+47	2.09465e+48	1.10407e+48
1.50713e+06	9.11486e+35	1.71659e+23	4.87850e+35	1.15487e+23	1.01922e+47	1.67506e+47	5.32402e+46	3.13816e+47	1.23661e+48	6.58350e+47
2.38864e+06	5.12479e+35	3.97236e+22	2.79049e+35	2.69098e+22	5.56682e+46	9.48899e+46	2.91142e+46	1.75173e+47	6.83853e+47	3.67746e+47
3.78574e+06	2.67208e+35	8.52708e+21	1.47871e+35	5.81850e+21	2.81724e+46	4.97007e+46	1.46801e+46	9.05889e+46	3.50081e+47	1.89636e+47
5.99999e+06	1.29442e+35	1.69102e+21	7.25616e+34	1.16096e+21	1.32977e+46	2.42574e+46	6.98719e+45	4.36138e+46	1.67439e+47	9.17730e+46
9.50935e+06	5.90171e+34	3.13351e+20	3.33923e+34	2.16109e+20	5.96755e+45	1.10187e+46	3.07553e+45	1.98164e+46	7.50624e+46	4.13209e+46
1.50713e+07	2.57241e+34	5.51597e+19	1.46475e+34	3.81620e+19	2.58782e+45	4.91031e+45	1.38654e+45	8.64567e+45	3.30301e+46	1.82062e+46
2.38864e+07	1.08665e+34	9.36547e+18	6.21350e+33	6.49307e+18	1.06763e+45	2.05781e+45	5.61093e+44	3.55502e+45	1.34728e+46	7.69180e+45
3.78574e+07	4.49479e+33	1.55190e+18	2.57714e+33	1.07741e+18	4.25394e+44	8.36360e+44	2.35248e+44	1.47320e+45	5.57100e+45	3.35215e+45
5.99999e+07	1.83378e+33	2.53076e+17	1.05326e+33	1.75853e+17	1.91935e+44	2.79762e+44	4.48497e+43	6.23966e+44	2.12083e+45	1.15190e+45
9.50935e+07	7.41512e+32	4.08452e+16	4.26373e+32	2.83978e+16	8.60701e+43	1.99785e+44	6.67359e+43	3.04432e+44	7.33667e+44	8.61601e+44
