mDM_(MeV)	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10
1.00000e-02	4.03310e+31	3.62334e+27	1.39855e+24	1.81629e+20	6.87260e+42	2.15941e+42	2.15348e+42	1.62299e+43	7.41863e+43	1.72820e+43
1.58489e-02	1.04223e+32	9.52218e+27	9.12916e+24	1.17349e+21	1.76622e+43	5.61221e+42	5.57585e+42	4.20919e+43	1.89662e+44	4.48394e+43
2.51189e-02	2.66086e+32	2.48177e+28	5.92459e+25	7.70149e+21	4.49245e+43	1.39728e+43	1.40478e+43	1.07068e+44	4.81837e+44	1.13545e+44
3.98107e-02	6.74593e+32	6.07545e+28	3.69623e+26	4.92964e+22	1.14387e+44	3.58234e+43	3.58903e+43	2.74625e+44	1.21433e+45	2.86436e+44
6.30957e-02	1.71093e+33	1.59932e+29	2.44208e+27	3.06956e+23	2.92815e+44	9.22421e+43	9.01506e+43	6.95914e+44	3.16944e+45	7.23273e+44
1.00000e-01	4.40687e+33	4.05924e+29	1.54985e+28	2.04447e+24	7.36687e+44	2.32454e+44	2.30808e+44	1.74567e+45	7.88298e+45	1.86050e+45
1.58489e-01	1.12592e+34	1.02775e+30	9.88779e+28	1.33905e+25	1.90286e+45	6.08581e+44	6.00465e+44	4.44092e+45	2.02299e+46	4.72626e+45
2.51189e-01	2.83238e+34	2.63923e+30	6.37791e+29	8.77057e+25	4.77727e+45	1.51349e+45	1.51415e+45	1.13874e+46	5.16431e+46	1.20103e+46
3.98107e-01	7.34343e+34	6.65434e+30	4.03911e+30	5.27228e+26	1.22039e+46	3.84123e+45	3.85011e+45	2.90451e+46	1.31885e+47	3.07163e+46
6.30957e-01	1.81857e+35	1.67219e+31	2.54926e+31	3.33306e+27	3.06934e+46	9.66293e+45	9.63556e+45	7.27725e+46	3.31594e+47	7.75115e+46
1.00000e+00	4.50253e+35	4.24018e+31	1.62470e+32	2.07895e+28	7.58997e+46	2.39999e+46	2.38030e+46	1.81687e+47	8.19893e+47	1.91943e+47
1.58489e+00	1.12822e+36	1.01414e+32	9.59190e+32	1.30075e+29	1.90690e+47	5.94383e+46	5.92271e+46	4.54111e+47	2.04945e+48	4.80520e+47
2.51189e+00	2.75715e+36	2.56557e+32	6.00631e+33	8.37105e+29	4.65708e+47	1.46023e+47	1.44355e+47	1.13505e+48	4.94367e+48	1.16702e+48
