mDM_(MeV)	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10
1.00000e-02	3.25594e+32	5.88352e+29	2.30666e+26	6.10586e+23	1.72031e+45	1.67286e+45	1.69258e+45	1.81449e+45	1.37817e+46	1.36104e+46
1.58489e-02	8.57792e+32	1.56931e+30	1.49333e+27	4.21099e+24	4.58725e+45	4.46727e+45	4.46216e+45	4.73265e+45	3.73707e+46	3.55256e+46
2.51189e-02	2.30677e+33	4.17467e+30	9.99731e+27	2.78554e+25	1.22462e+46	1.19272e+46	1.20905e+46	1.27664e+46	9.96473e+46	9.54195e+46
3.98107e-02	6.15027e+33	1.13393e+31	7.02541e+28	1.86867e+26	3.32729e+46	3.26678e+46	3.25352e+46	3.50149e+46	2.68178e+47	2.60266e+47
6.30957e-02	1.68160e+34	3.04205e+31	4.58929e+29	1.29982e+27	8.89504e+46	8.74751e+46	8.78758e+46	9.33389e+46	7.19353e+47	6.98366e+47
1.00000e-01	4.47739e+34	7.95901e+31	3.11947e+30	8.61800e+27	2.37550e+47	2.33608e+47	2.32424e+47	2.49512e+47	1.93263e+48	1.86889e+48
1.58489e-01	1.18272e+35	2.15584e+32	2.11857e+31	5.82641e+28	6.30212e+47	6.28218e+47	6.25668e+47	6.59846e+47	5.10337e+48	5.02581e+48
2.51189e-01	3.08308e+35	5.60891e+32	1.36401e+32	3.74815e+29	1.67621e+48	1.62133e+48	1.59955e+48	1.70347e+48	1.33479e+49	1.29707e+49
3.98107e-01	7.73690e+35	1.47602e+33	8.79902e+32	2.36938e+30	4.18665e+48	4.15649e+48	4.15662e+48	4.35251e+48	3.48561e+49	3.32043e+49
6.30957e-01	2.00147e+36	3.56082e+33	5.47173e+33	1.50634e+31	1.04401e+49	1.03374e+49	1.03370e+49	1.08923e+49	8.59238e+49	8.23682e+49
1.00000e+00	4.84772e+36	9.06945e+33	3.38313e+34	9.27382e+31	2.58697e+49	2.53359e+49	2.53388e+49	2.69288e+49	2.11379e+50	2.02713e+50
1.58489e+00	1.20148e+37	2.17557e+34	2.15149e+35	5.63851e+32	6.35069e+49	6.18462e+49	6.28713e+49	6.66243e+49	5.14590e+50	4.97830e+50
2.51189e+00	2.98753e+37	5.33346e+34	1.22515e+36	3.34442e+33	1.52059e+50	1.48788e+50	1.47689e+50	1.57346e+50	1.21283e+51	1.18309e+51
3.98107e+00	7.12036e+37	1.41829e+35	7.19636e+36	1.95713e+34	3.53081e+50	3.44508e+50	3.44726e+50	3.69677e+50	2.85906e+51	2.79241e+51
6.30957e+00	1.94400e+38	3.91874e+35	4.19164e+37	1.19084e+35	8.12396e+50	8.07162e+50	7.95752e+50	8.60717e+50	6.62417e+51	6.41904e+51
1.00000e+01	5.93882e+38	1.31706e+36	2.44422e+38	6.86744e+35	1.88694e+51	1.89550e+51	1.83659e+51	2.04757e+51	1.54573e+52	1.48652e+52
1.58489e+01	2.16858e+39	5.19204e+36	1.38070e+39	3.85722e+36	4.27330e+51	4.51242e+51	4.19840e+51	4.81766e+51	3.52913e+52	3.41431e+52
2.51189e+01	9.14716e+39	2.34229e+37	7.39298e+39	2.03297e+37	9.22092e+51	1.08145e+52	9.12433e+51	1.16603e+52	7.93451e+52	7.58680e+52
3.98107e+01	3.74955e+40	9.90737e+37	3.40264e+40	9.51653e+37	1.74911e+52	2.48924e+52	1.72396e+52	2.59225e+52	1.57204e+53	1.52059e+53
6.30957e+01	1.15117e+41	2.87618e+38	1.10497e+41	2.82404e+38	2.57333e+52	5.06816e+52	2.50330e+52	5.24313e+52	2.55155e+53	2.49778e+53
1.00000e+02	1.69864e+41	2.41660e+38	1.65072e+41	2.37225e+38	2.46740e+52	6.27572e+52	2.41638e+52	6.44141e+52	2.78974e+53	2.70484e+53
1.58489e+02	1.60049e+41	9.88723e+37	1.54927e+41	9.71628e+37	1.91032e+52	5.51921e+52	1.88288e+52	5.69424e+52	2.30941e+53	2.25047e+53
2.51189e+02	1.23479e+41	3.20632e+37	1.20395e+41	3.15641e+37	1.39303e+52	4.11466e+52	1.35974e+52	4.23596e+52	1.68169e+53	1.63869e+53
3.98107e+02	8.70477e+40	9.26475e+36	8.55721e+40	9.16044e+36	9.48091e+51	2.90358e+52	9.17687e+51	2.96244e+52	1.15221e+53	1.12954e+53
6.30957e+02	5.85375e+40	2.51556e+36	5.76397e+40	2.47521e+36	6.26331e+51	1.92927e+52	6.17127e+51	1.99486e+52	7.76201e+52	7.51295e+52
1.00000e+03	3.92665e+40	6.76061e+35	3.84046e+40	6.65133e+35	4.07180e+51	1.27742e+52	3.92236e+51	1.31611e+52	5.09019e+52	4.90468e+52
1.58489e+03	2.51955e+40	1.73737e+35	2.44417e+40	1.72800e+35	2.60283e+51	8.22591e+51	2.51582e+51	8.55301e+51	3.23170e+52	3.17454e+52
2.51189e+03	1.63444e+40	4.48292e+34	1.58373e+40	4.42494e+34	1.65411e+51	5.33262e+51	1.61866e+51	5.44287e+51	2.09336e+52	2.03601e+52
3.98107e+03	1.04046e+40	1.14081e+34	1.01892e+40	1.13418e+34	1.06102e+51	3.39559e+51	1.03253e+51	3.47732e+51	1.34992e+52	1.30727e+52
6.30957e+03	6.94034e+39	2.89737e+33	6.67971e+39	2.85122e+33	7.11435e+50	2.23113e+51	6.79134e+50	2.28792e+51	8.79350e+51	8.48713e+51
1.00000e+04	4.87256e+39	7.46752e+32	4.68196e+39	7.44324e+32	5.16692e+50	1.59044e+51	4.93834e+50	1.63435e+51	6.31746e+51	6.04374e+51
1.58489e+04	3.81490e+39	2.17557e+32	3.75098e+39	2.12161e+32	4.24342e+50	1.28208e+51	4.09888e+50	1.35532e+51	5.20124e+51	5.01171e+51
2.51189e+04	2.94151e+39	5.85304e+31	2.78375e+39	5.76586e+31	3.32032e+50	9.63207e+50	3.21952e+50	9.88845e+50	4.01791e+51	3.82044e+51
3.98107e+04	1.82900e+39	1.51694e+31	1.77912e+39	1.46084e+31	2.14397e+50	6.17701e+50	2.06323e+50	6.55732e+50	2.58282e+51	2.46206e+51
6.30957e+04	1.21861e+39	4.11977e+30	1.18839e+39	4.06653e+30	1.43365e+50	4.15176e+50	1.37588e+50	4.32625e+50	1.73489e+51	1.66760e+51
9.50935e+04	7.91667e+38	1.09391e+30	7.58816e+38	1.07200e+30	9.16982e+49	2.63751e+50	8.78916e+49	2.75171e+50	1.10053e+51	1.05485e+51
1.50713e+05	4.99532e+38	2.74804e+29	4.78804e+38	2.69299e+29	5.78586e+49	1.66422e+50	5.54568e+49	1.73627e+50	6.94407e+50	6.65584e+50
2.38864e+05	3.15193e+38	6.90316e+28	3.02115e+38	6.76490e+28	3.65067e+49	1.05008e+50	3.49912e+49	1.09554e+50	4.38149e+50	4.19963e+50
3.78574e+05	1.98877e+38	1.73406e+28	1.90625e+38	1.69933e+28	2.30343e+49	6.62564e+49	2.20781e+49	6.91250e+49	2.76456e+50	2.64982e+50
5.99999e+05	1.25484e+38	4.35587e+27	1.20278e+38	4.26862e+27	1.45337e+49	4.18054e+49	1.39304e+49	4.36153e+49	1.74433e+50	1.67193e+50
9.50935e+05	7.91759e+37	1.09416e+27	7.58908e+37	1.07225e+27	9.17010e+48	2.63775e+49	8.78947e+48	2.75196e+49	1.10060e+50	1.05492e+50
1.50713e+06	4.99567e+37	2.74843e+26	4.78840e+37	2.69339e+26	5.78597e+48	1.66431e+49	5.54572e+48	1.73637e+49	6.94438e+49	6.65613e+49
2.38864e+06	3.15198e+37	6.90379e+25	3.02125e+37	6.76552e+25	3.65023e+48	1.05009e+49	3.49899e+48	1.09553e+49	4.38135e+49	4.19959e+49
3.78574e+06	1.98847e+37	1.73415e+25	1.90611e+37	1.69942e+25	2.30240e+48	6.62456e+48	2.20680e+48	6.91083e+48	2.76358e+49	2.64907e+49
5.99999e+06	1.25369e+37	4.35564e+24	1.20199e+37	4.26846e+24	1.45015e+48	4.17770e+48	1.39086e+48	4.35666e+48	1.74200e+49	1.67052e+49
9.50935e+06	7.88417e+36	1.09339e+24	7.56261e+36	1.07155e+24	9.08486e+47	2.62599e+48	8.70722e+47	2.73835e+48	1.09291e+49	1.04880e+49
1.50713e+07	4.91367e+36	2.73510e+23	4.71778e+36	2.68082e+23	5.59190e+47	1.63636e+48	5.37205e+47	1.70348e+48	6.78170e+48	6.50917e+48
2.38864e+07	2.98498e+36	6.73521e+22	2.87011e+36	6.60349e+22	3.29311e+47	9.89556e+47	3.16503e+47	1.02696e+48	4.05037e+48	3.90353e+48
3.78574e+07	1.72112e+36	1.58887e+22	1.65754e+36	1.55844e+22	1.80994e+47	5.65742e+47	1.74665e+47	5.86902e+47	2.28344e+48	2.20893e+48
5.99999e+07	9.21812e+35	3.48979e+21	8.89013e+35	3.42441e+21	9.29995e+46	2.97521e+47	8.67716e+46	3.11949e+47	1.18541e+48	1.14483e+48
9.50935e+07	4.56986e+35	7.06632e+20	4.41191e+35	6.93626e+20	4.44997e+46	1.50261e+47	4.36091e+46	1.56002e+47	5.69545e+47	5.76351e+47
