mDM_(MeV)	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10
1.00000e-02	3.13767e+32	6.98228e+29	2.66847e+26	8.86410e+23	2.38957e+45	2.35944e+45	2.37121e+45	2.47690e+45	1.94660e+46	1.89379e+46
1.58489e-02	8.28144e+32	1.84432e+30	1.77154e+27	5.81592e+24	6.41390e+45	6.26842e+45	6.26885e+45	6.62097e+45	5.19776e+46	5.01482e+46
2.51189e-02	2.24170e+33	5.01195e+30	1.21037e+28	4.03308e+25	1.75162e+46	1.72264e+46	1.71391e+46	1.80630e+46	1.43401e+47	1.37790e+47
3.98107e-02	5.90255e+33	1.32141e+31	8.12949e+28	2.68507e+26	4.63678e+46	4.64096e+46	4.60658e+46	4.80239e+46	3.76786e+47	3.71283e+47
6.30957e-02	1.62479e+34	3.65263e+31	5.46737e+29	1.85950e+27	1.25420e+47	1.24376e+47	1.24239e+47	1.30066e+47	1.05488e+48	9.95021e+47
1.00000e-01	4.33717e+34	9.53158e+31	3.68897e+30	1.21022e+28	3.33722e+47	3.31517e+47	3.30487e+47	3.47233e+47	2.69432e+48	2.65217e+48
1.58489e-01	1.13379e+35	2.53758e+32	2.48846e+31	8.20784e+28	8.89513e+47	8.66560e+47	8.71092e+47	9.09849e+47	7.10968e+48	6.93257e+48
2.51189e-01	2.99418e+35	6.72430e+32	1.60896e+32	5.34033e+29	2.30570e+48	2.28240e+48	2.24595e+48	2.34815e+48	1.84347e+49	1.82593e+49
3.98107e-01	7.67659e+35	1.70486e+33	1.04074e+33	3.36223e+30	5.86990e+48	5.83930e+48	5.83945e+48	6.03565e+48	4.73599e+49	4.64042e+49
6.30957e-01	1.91151e+36	4.21568e+33	6.51375e+33	2.16867e+31	1.48806e+49	1.45567e+49	1.46000e+49	1.51649e+49	1.17597e+50	1.16797e+50
1.00000e+00	4.74230e+36	1.06039e+34	4.03896e+34	1.31228e+32	3.67554e+49	3.60335e+49	3.58855e+49	3.80313e+49	2.95672e+50	2.87088e+50
1.58489e+00	1.17686e+37	2.69270e+34	2.43867e+35	8.17919e+32	9.00260e+49	8.77951e+49	8.71539e+49	9.08050e+49	7.26235e+50	7.06497e+50
2.51189e+00	2.90809e+37	6.46783e+34	1.42329e+36	4.91235e+33	2.10821e+50	2.10880e+50	2.08870e+50	2.18179e+50	1.71634e+51	1.74050e+51
3.98107e+00	7.20623e+37	1.69105e+35	8.73324e+36	2.93422e+34	5.03311e+50	5.04929e+50	4.93668e+50	5.18524e+50	4.04348e+51	3.93475e+51
6.30957e+00	1.98829e+38	4.96502e+35	4.95717e+37	1.70415e+35	1.15519e+51	1.14500e+51	1.14215e+51	1.20314e+51	9.42071e+51	9.10798e+51
1.00000e+01	6.37464e+38	1.73774e+36	2.96869e+38	1.00155e+36	2.63334e+51	2.66487e+51	2.62188e+51	2.84803e+51	2.15655e+52	2.12702e+52
1.58489e+01	2.44256e+39	6.96954e+36	1.64509e+39	5.56094e+36	6.16319e+51	6.26300e+51	5.99813e+51	6.52809e+51	4.87370e+52	4.72543e+52
2.51189e+01	1.04878e+40	3.32894e+37	8.75481e+39	2.99413e+37	1.30244e+52	1.49416e+52	1.29076e+52	1.55363e+52	1.09221e+53	1.08171e+53
3.98107e+01	4.56641e+40	1.52479e+38	4.27713e+40	1.45772e+38	2.59303e+52	3.51025e+52	2.55608e+52	3.61575e+52	2.31621e+53	2.27709e+53
6.30957e+01	1.56835e+41	5.13344e+38	1.50808e+41	4.93236e+38	4.05939e+52	7.50185e+52	3.98011e+52	7.63559e+52	3.98588e+53	3.91100e+53
1.00000e+02	2.74530e+41	5.54156e+38	2.67079e+41	5.57016e+38	4.21741e+52	1.03752e+53	4.14357e+52	1.05752e+53	4.62613e+53	4.55010e+53
1.58489e+02	2.70242e+41	2.49266e+38	2.64819e+41	2.44193e+38	3.40606e+52	9.56568e+52	3.33966e+52	9.72929e+52	3.99149e+53	3.90391e+53
2.51189e+02	2.14779e+41	8.30097e+37	2.11920e+41	8.22297e+37	2.46986e+52	7.24534e+52	2.42504e+52	7.36785e+52	3.01031e+53	2.90215e+53
3.98107e+02	1.55697e+41	2.44499e+37	1.51683e+41	2.41362e+37	1.68569e+52	5.21845e+52	1.65464e+52	5.30689e+52	2.07635e+53	2.03661e+53
6.30957e+02	1.04880e+41	6.72434e+36	1.02785e+41	6.64747e+36	1.11046e+52	3.48907e+52	1.09061e+52	3.54456e+52	1.38853e+53	1.35009e+53
1.00000e+03	6.93868e+40	1.81466e+36	6.88583e+40	1.79086e+36	7.20667e+51	2.31441e+52	7.10876e+51	2.33588e+52	9.11500e+52	8.92063e+52
1.58489e+03	4.54694e+40	4.70555e+35	4.47044e+40	4.66621e+35	4.73943e+51	1.50026e+52	4.56828e+51	1.51999e+52	5.88764e+52	5.78173e+52
2.51189e+03	2.94552e+40	1.19117e+35	2.89840e+40	1.18081e+35	2.97737e+51	9.55488e+51	2.92121e+51	9.74286e+51	3.76180e+52	3.70091e+52
3.98107e+03	1.88059e+40	3.08143e+34	1.84188e+40	3.05395e+34	1.95616e+51	6.09063e+51	1.85882e+51	6.21812e+51	2.38988e+52	2.33108e+52
6.30957e+03	1.20151e+40	7.84280e+33	1.17326e+40	7.78755e+33	1.23242e+51	4.01072e+51	1.21611e+51	3.99993e+51	1.54067e+52	1.52441e+52
1.00000e+04	8.04008e+39	2.00198e+33	7.90701e+39	1.97190e+33	8.33122e+50	2.64413e+51	8.23404e+50	2.67898e+51	1.04107e+52	1.01383e+52
1.58489e+04	6.00199e+39	5.27690e+32	5.82198e+39	5.25287e+32	6.43595e+50	1.96440e+51	6.26709e+50	2.03965e+51	7.90987e+51	7.73364e+51
2.51189e+04	4.63876e+39	1.47415e+32	4.46852e+39	1.41716e+32	5.10868e+50	1.53126e+51	4.96256e+50	1.59804e+51	6.19746e+51	6.16053e+51
3.98107e+04	3.01753e+39	3.74907e+31	2.97549e+39	3.67667e+31	3.51233e+50	1.04256e+51	3.36761e+50	1.05599e+51	4.26162e+51	4.13374e+51
6.30957e+04	2.03332e+39	1.05083e+31	1.97704e+39	1.02619e+31	2.36823e+50	6.96638e+50	2.29620e+50	7.12886e+50	2.85392e+51	2.79508e+51
9.50935e+04	1.30521e+39	2.72748e+30	1.26825e+39	2.69086e+30	1.51271e+50	4.40912e+50	1.46989e+50	4.53758e+50	1.81514e+51	1.76376e+51
1.50713e+05	8.23578e+38	6.85192e+29	8.00262e+38	6.75992e+29	9.54473e+49	2.78210e+50	9.27455e+49	2.86315e+50	1.14531e+51	1.11289e+51
2.38864e+05	5.19662e+38	1.72125e+29	5.04950e+38	1.69814e+29	6.02240e+49	1.75544e+50	5.85192e+49	1.80658e+50	7.22660e+50	7.02203e+50
3.78574e+05	3.27892e+38	4.32378e+28	3.18610e+38	4.26573e+28	3.79990e+49	1.10763e+50	3.69234e+49	1.13990e+50	4.55974e+50	4.43066e+50
5.99999e+05	2.06889e+38	1.08612e+28	2.01032e+38	1.07153e+28	2.39759e+49	6.98874e+49	2.32972e+49	7.19234e+49	2.87702e+50	2.79558e+50
9.50935e+05	1.30539e+38	2.72825e+27	1.26844e+38	2.69162e+27	1.51277e+49	4.40962e+49	1.46996e+49	4.53809e+49	1.81528e+50	1.76390e+50
1.50713e+06	8.23652e+37	6.85313e+26	8.00336e+37	6.76113e+26	9.54502e+48	2.78229e+49	9.27475e+48	2.86335e+49	1.14538e+50	1.11295e+50
2.38864e+06	5.19688e+37	1.72144e+26	5.04978e+37	1.69833e+26	6.02211e+48	1.75551e+49	5.85194e+48	1.80663e+49	7.22668e+49	7.02217e+49
3.78574e+06	3.27887e+37	4.32408e+25	3.18612e+37	4.26603e+25	3.79936e+48	1.10758e+49	3.69168e+48	1.13982e+49	4.55916e+49	4.43021e+49
5.99999e+06	2.06831e+37	1.08614e+25	2.00993e+37	1.07157e+25	2.39577e+48	6.98774e+48	2.32880e+48	7.18985e+48	2.87590e+49	2.79516e+49
9.50935e+06	1.30346e+37	2.72787e+24	1.26691e+37	2.69129e+24	1.50765e+48	4.40252e+48	1.46466e+48	4.53039e+48	1.81049e+49	1.76027e+49
