mDM_(MeV)	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10
1.00000e-02	2.97127e+32	1.88182e+29	7.33540e+25	6.79139e+22	2.61890e+44	2.31290e+44	2.30214e+44	3.28973e+44	2.24564e+45	1.84020e+45
1.58489e-02	7.80134e+32	4.78592e+29	4.67470e+26	4.39236e+23	6.79585e+44	5.89729e+44	5.92996e+44	8.74248e+44	5.80033e+45	4.75518e+45
2.51189e-02	2.03205e+33	1.27923e+30	3.05100e+27	2.88880e+24	1.76599e+45	1.52973e+45	1.54099e+45	2.21227e+45	1.52214e+46	1.21718e+46
3.98107e-02	5.23750e+33	3.37765e+30	2.05787e+28	1.91513e+25	4.68373e+45	4.08262e+45	4.06650e+45	5.95535e+45	4.00555e+46	3.26625e+46
6.30957e-02	1.41106e+34	9.10187e+30	1.34100e+29	1.27858e+26	1.22481e+46	1.06985e+46	1.08957e+46	1.57025e+46	1.05820e+47	8.51818e+46
1.00000e-01	3.69521e+34	2.37035e+31	9.02609e+29	8.51885e+26	3.30408e+46	2.86160e+46	2.87494e+46	4.17733e+46	2.79457e+47	2.28938e+47
1.58489e-01	9.64992e+34	6.16742e+31	6.01238e+30	5.82662e+27	8.87838e+46	7.72406e+46	7.69016e+46	1.09862e+47	7.57338e+47	6.17946e+47
2.51189e-01	2.53705e+35	1.61947e+32	3.92374e+31	3.82054e+28	2.27840e+47	2.01135e+47	2.01786e+47	2.89333e+47	1.97393e+48	1.60910e+48
3.98107e-01	6.52490e+35	4.21065e+32	2.54733e+32	2.48096e+29	6.09460e+47	5.17107e+47	5.15222e+47	7.45671e+47	5.01447e+48	4.13670e+48
6.30957e-01	1.67690e+36	1.06667e+33	1.64000e+33	1.55982e+30	1.47390e+48	1.32686e+48	1.31151e+48	1.86976e+48	1.26819e+49	1.04133e+49
1.00000e+00	4.06543e+36	2.59531e+33	1.00731e+34	9.38079e+30	3.61506e+48	3.21762e+48	3.19610e+48	4.58614e+48	3.11729e+49	2.55744e+49
1.58489e+00	9.86468e+36	6.40174e+33	5.99105e+34	5.76675e+31	8.87541e+48	7.76795e+48	7.76300e+48	1.11500e+49	7.58774e+49	6.22587e+49
2.51189e+00	2.39467e+37	1.52944e+34	3.58137e+35	3.38405e+32	2.08175e+49	1.81419e+49	1.80711e+49	2.60732e+49	1.77749e+50	1.44273e+50
3.98107e+00	5.72644e+37	3.67778e+34	2.10873e+36	2.04978e+33	5.04141e+49	4.28618e+49	4.23209e+49	6.14837e+49	4.18947e+50	3.38069e+50
6.30957e+00	1.43263e+38	9.31360e+34	1.26940e+37	1.18219e+34	1.13827e+50	1.01697e+50	9.85492e+49	1.45959e+50	9.70921e+50	7.92412e+50
1.00000e+01	3.78090e+38	2.60743e+35	7.28925e+37	6.97644e+34	2.64250e+50	2.51575e+50	2.25439e+50	3.54228e+50	2.30517e+51	1.86786e+51
1.58489e+01	1.11000e+39	8.07460e+35	4.07154e+38	3.83944e+35	5.86291e+50	5.98531e+50	5.09220e+50	8.39159e+50	5.11309e+51	4.24617e+51
2.51189e+01	3.41680e+39	2.70796e+36	2.01092e+39	1.91797e+36	1.13603e+51	1.47338e+51	9.78483e+50	1.99567e+51	1.08551e+52	8.75715e+51
3.98107e+01	8.87705e+39	6.63042e+36	6.68044e+39	5.57219e+36	1.70070e+51	2.98596e+51	1.43848e+51	3.77164e+51	1.77899e+52	1.46776e+52
