mDM_(MeV)	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10
1.00000e-02	3.27593e+32	5.84784e+29	2.24176e+26	5.47544e+23	1.56298e+45	1.53214e+45	1.50908e+45	1.61569e+45	1.26573e+46	1.21434e+46
1.58489e-02	8.75459e+32	1.50239e+30	1.43498e+27	3.73440e+24	4.31490e+45	3.93414e+45	4.06679e+45	4.29408e+45	3.29815e+46	3.17550e+46
2.51189e-02	2.31880e+33	3.98644e+30	9.35517e+27	2.48045e+25	1.11103e+46	1.07294e+46	1.07221e+46	1.15375e+46	8.85552e+46	8.58368e+46
3.98107e-02	6.15519e+33	1.07118e+31	6.30822e+28	1.68889e+26	2.94286e+46	2.92623e+46	2.91970e+46	3.10531e+46	2.44184e+47	2.34103e+47
6.30957e-02	1.66145e+34	2.88709e+31	4.38257e+29	1.11182e+27	7.94682e+46	7.80190e+46	7.73607e+46	8.48656e+46	6.47602e+47	6.24164e+47
1.00000e-01	4.43482e+34	7.51353e+31	2.92499e+30	7.51650e+27	2.12526e+47	2.13508e+47	2.13601e+47	2.23614e+47	1.73331e+48	1.70810e+48
1.58489e-01	1.16911e+35	2.00640e+32	1.98374e+31	4.97491e+28	5.72117e+47	5.57115e+47	5.58751e+47	5.94875e+47	4.61819e+48	4.45699e+48
2.51189e-01	3.10122e+35	5.21094e+32	1.28260e+32	3.29430e+29	1.50370e+48	1.44088e+48	1.41885e+48	1.64184e+48	1.19562e+49	1.15271e+49
3.98107e-01	7.84598e+35	1.37388e+33	8.38201e+32	2.12304e+30	3.73034e+48	3.67057e+48	3.68359e+48	3.98285e+48	3.03878e+49	2.93640e+49
6.30957e-01	1.97924e+36	3.39749e+33	5.25841e+33	1.34416e+31	9.39989e+48	9.32612e+48	9.25320e+48	9.90118e+48	7.60529e+49	7.40233e+49
1.00000e+00	4.92568e+36	8.68942e+33	3.25781e+34	8.39220e+31	2.36946e+49	2.28363e+49	2.40812e+49	2.44102e+49	1.86909e+50	1.88834e+50
1.58489e+00	1.20670e+37	2.06441e+34	1.95861e+35	5.14759e+32	5.73854e+49	5.45423e+49	5.55723e+49	6.01250e+49	4.59926e+50	4.50171e+50
2.51189e+00	2.94291e+37	5.04189e+34	1.15556e+36	3.03139e+33	1.35064e+50	1.32160e+50	1.32211e+50	1.41963e+50	1.08843e+51	1.06083e+51
