1.00000e-03
M:	1.16026e+60	1.31075e+68	3.29667e+57	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00
S:	1.15565e+60	1.28672e+68	3.29860e+57	6.93194e-310	9.88131e-324	0.00000e+00	0.00000e+00	2.92153e-314	2.42092e-315	4.66945e-310
D:	1.15963e+60	1.26434e+68	3.28395e+57	4.94066e-324	6.95325e-310	6.93194e-310	6.95325e-310	2.12200e-314	0.00000e+00	0.00000e+00
1.00000e+00
M:	2.54797e+66	6.67019e+63	2.05470e-81	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00
S:	2.59496e+66	6.65490e+63	1.48220e-323	7.90505e-323	-2.96439e-323	0.00000e+00	0.00000e+00	2.42092e-315	1.68026e+255	0.00000e+00
D:	2.75752e+66	7.22114e+63	6.93194e-310	6.93194e-310	0.00000e+00	6.95325e-310	0.00000e+00	6.95325e-310	6.93194e-310	2.12200e-314
1.00000e+03
M:	8.31615e+70	2.74781e+66	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00
S:	8.24881e+70	2.71143e+66	0.00000e+00	1.28457e-322	0.00000e+00	0.00000e+00	2.42092e-315	7.99539e-315	1.61895e-318	1.58101e-322
D:	8.36743e+70	2.69411e+66	0.00000e+00	6.93194e-310	0.00000e+00	6.93194e-310	0.00000e+00	0.00000e+00	0.00000e+00	6.95325e-310
1.00000e+06
M:	1.31075e+68	3.29667e+57	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.15565e+60
S:	1.28672e+68	3.29860e+57	6.93194e-310	9.88131e-324	0.00000e+00	0.00000e+00	2.92153e-314	2.42092e-315	4.66945e-310	1.15963e+60
D:	1.26434e+68	3.28395e+57	4.94066e-324	6.95325e-310	6.93194e-310	6.95325e-310	2.12200e-314	0.00000e+00	0.00000e+00	0.00000e+00
