-5	46538	52751	239	0	463	0	0	9
-4	46478	52574	299	0	644	0	0	5
-3	45613	50396	1161	0	2768	0	3	59
-2	35381	22207	11260	0	30262	0	136	754
-1	20547	4994	24662	0	43204	0	1568	5025
0	26848	22804	2909	0	3605	0	17020	26814
1	23074	27230	1	0	0	0	23702	25993
